recording_session_id,recording_id,piece_id,piece_title,qinist_id,qinist_name,batch_id,recording_take_no,batch_take_no,slate_no,script_id,event_id,event_range,gesture_id,normalized_name,realization_variant,realization_pre_action,expected_sample_type,take_label,spoken_slate_text,asr_accepted_variants,long_tail_required,tail_silence_required_s,source_raw_audio,take_status,retake_no,notes,review_only,production_grade,not_sample_assets,not_render_executed,not_ml_training_data
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T001,001,001,RS_XWC_002_001,XWC_P01_N01,,SAN_TIAO_7,散挑七,straight,none,atomic,T001,零零幺,零零幺;零零一,false,1.2,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,candidate,,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | baseline straight,true,false,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T002,002,002,RS_XWC_002_002,XWC_P01_N02,,SAN_GOU_5,散勾五,straight,none,atomic,T002,零零二,零零二,false,1.2,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,candidate,,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | baseline straight,true,false,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T003,003,003,RS_XWC_002_003,XWC_P01_N03,,SAN_TIAO_7,散挑七,straight,none,atomic,T003,零零三,零零三,false,1.2,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,candidate,,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | baseline straight,true,false,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T004,004,004,RS_XWC_002_004,XWC_P01_N04,,AN_RING_10_GOU_5,名十勾五,straight,none,atomic,T004,零零四,零零四,false,1.2,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,candidate,,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | baseline straight,true,false,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T005,005,005,RS_XWC_002_005,XWC_P01_N04,,AN_RING_10_GOU_5,名十勾五,chuo,chuo,atomic,T005,零零五,零零五,false,1.2,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,candidate,,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | 普通按音默认绰 realization,true,false,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T006,006,006,RS_XWC_002_006,XWC_P02_N01,,SAN_TIAO_7,散挑七,straight,none,atomic,T006,零零六,零零六,false,1.2,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,candidate,,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | baseline straight,true,false,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T007,007,007,RS_XWC_002_007,XWC_P02_N02,,SAN_GOU_5,散勾五,straight,none,atomic,T007,零零七,零零七,false,1.2,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,candidate,,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | baseline straight,true,false,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T008,008,008,RS_XWC_002_008,XWC_P02_N03,,SAN_TIAO_6,散挑六,straight,none,atomic,T008,零零八,零零八,false,1.2,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,candidate,,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | baseline straight,true,false,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T009,009,009,RS_XWC_002_009,XWC_P02_N04,,AN_RING_10_GOU_4,名十勾四,straight,none,atomic,T009,零零九,零零九,false,1.2,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,candidate,,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | baseline straight,true,false,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T010,010,010,RS_XWC_002_010,XWC_P02_N04,,AN_RING_10_GOU_4,名十勾四,chuo,chuo,atomic,T010,零幺零,零幺零;零一零,false,1.2,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,candidate,,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | 普通按音默认绰 realization,true,false,true,true,true
