recording_session_id,recording_id,piece_id,qinist_id,batch_id,recording_take_no,batch_take_no,script_id,unit_id,source_raw_audio,event_id,event_range,gesture_id,unit_start_s,unit_end_s,slate_start_s,slate_end_s,next_slate_start_s,suggested_clean_start_s,suggested_clean_end_s,tail_end_s,split_plan_role,source_boundary_policy,requires_human_confirmation,not_executed,not_recording_segments,not_sample_assets,review_only,production_grade,file_id,source_audio,take_id,guqin_start_s,expected_sample_type,is_terminal_take,terminal_boundary_policy,terminal_unit_end_s,terminal_reason,next_slate_marker_source,planned_unit_start_s,planned_unit_end_s,planned_clean_start_s,planned_clean_end_s,boundary_unlinked,notes,updated_at
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T031,001,RS_XWC_002_031,T031,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,,,,0.000,10.240,0.000,3.000,10.240,3.000,10.240,,clean_preview,reviewed_required_markers,true,true,true,true,true,false,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA0X1QwMzEtVDA0MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,T031,,,false,,,,reviewed_marker,0.000,10.240,3.000,10.240,true,,2026-06-19T11:22:07.699471+00:00
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T032,002,RS_XWC_002_032,T032,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,,,,10.500,21.640,10.500,14.790,21.640,14.790,21.640,,clean_preview,reviewed_required_markers,true,true,true,true,true,false,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA0X1QwMzEtVDA0MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,T032,,,false,,,,reviewed_marker,10.500,21.640,14.790,21.640,false,,2026-06-19T11:22:07.699471+00:00
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T033,003,RS_XWC_002_033,T033,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,,,,21.640,30.930,21.640,23.840,30.930,23.840,30.930,,clean_preview,reviewed_required_markers,true,true,true,true,true,false,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA0X1QwMzEtVDA0MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,T033,,,false,,,,reviewed_marker,21.640,30.930,23.840,30.930,true,,2026-06-19T11:22:07.699471+00:00
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T034,004,RS_XWC_002_034,T034,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,,,,30.980,40.650,30.980,33.580,40.650,33.580,40.650,,clean_preview,reviewed_required_markers,true,true,true,true,true,false,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA0X1QwMzEtVDA0MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,T034,,,false,,,,reviewed_marker,30.980,40.650,33.580,40.650,true,,2026-06-19T11:22:07.699471+00:00
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T035,005,RS_XWC_002_035,T035,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,,,,40.600,50.000,40.600,42.840,50.000,42.840,50.000,,clean_preview,reviewed_required_markers,true,true,true,true,true,false,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA0X1QwMzEtVDA0MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,T035,,,false,,,,reviewed_marker,40.600,50.000,42.840,50.000,false,,2026-06-19T11:22:07.699471+00:00
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T036,006,RS_XWC_002_036,T036,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,,,,50.000,59.730,50.000,51.430,59.730,51.430,59.730,,clean_preview,reviewed_required_markers,true,true,true,true,true,false,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA0X1QwMzEtVDA0MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,T036,,,false,,,,reviewed_marker,50.000,59.730,51.430,59.730,true,,2026-06-19T11:22:07.699471+00:00
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T037,007,RS_XWC_002_037,T037,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,,,,59.630,70.560,59.630,62.680,70.560,62.680,70.560,,clean_preview,reviewed_required_markers,true,true,true,true,true,false,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA0X1QwMzEtVDA0MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,T037,,,false,,,,reviewed_marker,59.630,70.560,62.680,70.560,false,,2026-06-19T11:22:07.699471+00:00
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T038,008,RS_XWC_002_038,T038,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,,,,70.560,82.000,70.560,72.610,82.000,72.610,82.000,,clean_preview,reviewed_required_markers,true,true,true,true,true,false,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA0X1QwMzEtVDA0MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,T038,,,false,,,,reviewed_marker,70.560,82.000,72.610,82.000,false,,2026-06-19T11:22:07.699471+00:00
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T039,009,RS_XWC_002_039,T039,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,,,,81.950,90.820,81.950,83.340,90.820,83.340,90.820,,clean_preview,reviewed_required_markers,true,true,true,true,true,false,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA0X1QwMzEtVDA0MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,T039,,,false,,,,reviewed_marker,81.950,90.820,83.340,90.820,false,,2026-06-19T11:22:07.699471+00:00
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T040,010,RS_XWC_002_040,T040,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,,,,90.820,103.281859,90.820,92.860,103.281859,92.860,103.281859,,clean_preview,reviewed_required_markers,true,true,true,true,true,false,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA0X1QwMzEtVDA0MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,T040,,,true,raw_end,103.281859,no_next_slate_in_batch,terminal_raw_end,90.820,103.281859,92.860,103.281859,false,,2026-06-19T11:22:07.699471+00:00
