recording_session_id,recording_id,piece_id,qinist_id,batch_id,recording_take_no,batch_take_no,script_id,unit_id,source_raw_audio,event_id,event_range,gesture_id,expected_sample_type,slate_start_s,slate_end_s,guqin_start_s,tail_end_s,next_slate_start_s,review_status,review_only,production_grade,not_sample_assets,updated_at,file_id,source_audio,take_id,unit_source,unit_status,boundary_unlinked,is_terminal_take,terminal_boundary_policy,terminal_unit_end_s,terminal_reason,next_slate_marker_source,not_sample_ingest,not_recording_segments,notes
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T051,001,RS_XWC_002_051,T051,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,,,,,3.560,6.760,,,13.840,accepted,true,false,true,2026-06-19T11:30:17.021835+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA2X1QwNTEtVDA2MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,T051,asr_candidate,confirmed,false,false,,,,reviewed_marker,true,true,
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T052,002,RS_XWC_002_052,T052,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,,,,,13.840,16.280,,,25.600,accepted,true,false,true,2026-06-19T11:30:17.021835+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA2X1QwNTEtVDA2MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,T052,asr_candidate,confirmed,false,false,,,,reviewed_marker,true,true,
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T053,003,RS_XWC_002_053,T053,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,,,,,25.600,27.420,,,35.480,accepted,true,false,true,2026-06-19T11:30:17.021835+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA2X1QwNTEtVDA2MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,T053,asr_candidate,confirmed,false,false,,,,reviewed_marker,true,true,
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T054,004,RS_XWC_002_054,T054,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,,,,,35.480,37.420,,,46.480,accepted,true,false,true,2026-06-19T11:30:17.021835+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA2X1QwNTEtVDA2MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,T054,asr_candidate,confirmed,false,false,,,,reviewed_marker,true,true,
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T055,005,RS_XWC_002_055,T055,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,,,,,46.480,48.420,,,54.810,accepted,true,false,true,2026-06-19T11:30:17.021835+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA2X1QwNTEtVDA2MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,T055,asr_candidate,confirmed,true,false,,,,reviewed_marker,true,true,
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T056,006,RS_XWC_002_056,T056,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,,,,,55.210,60.460,,,69.220,accepted,true,false,true,2026-06-19T11:30:17.021835+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA2X1QwNTEtVDA2MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,T056,asr_candidate,confirmed,false,false,,,,reviewed_marker,true,true,
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T057,007,RS_XWC_002_057,T057,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,,,,,69.220,71.200,,,80.430,accepted,true,false,true,2026-06-19T11:30:17.021835+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA2X1QwNTEtVDA2MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,T057,asr_candidate,confirmed,true,false,,,,reviewed_marker,true,true,
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T058,008,RS_XWC_002_058,T058,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,,,,,80.680,84.380,,,89.200,accepted,true,false,true,2026-06-19T11:30:17.021835+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA2X1QwNTEtVDA2MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,T058,asr_candidate,confirmed,true,false,,,,reviewed_marker,true,true,
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T059,009,RS_XWC_002_059,T059,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,,,,,89.350,92.200,,,95.800,accepted,true,false,true,2026-06-19T11:30:17.021835+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA2X1QwNTEtVDA2MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,T059,asr_candidate,confirmed,false,false,,,,reviewed_marker,true,true,
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T060,010,RS_XWC_002_060,T060,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,,,,,95.800,97.700,,,107.740091,accepted,true,false,true,2026-06-19T11:30:17.021835+00:00,UUlOSVNUXzAwMi9YV0MvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVC9yYXcvUlNfWFdDXzAwMl9CQUlZQV9QSUxPVF9iYXRjaDA2X1QwNTEtVDA2MC53YXY,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,T060,asr_candidate,confirmed,false,true,raw_end,107.740091,no_next_slate_in_batch,terminal_raw_end,true,true,
