recording_session_id,recording_id,piece_id,qinist_id,batch_id,recording_take_no,batch_take_no,script_id,segment_id,marker_id,marker_type,time_s,source,review_status,nudge_total_ms,review_only,production_grade,not_sample_assets,not_render_executed,not_ml_training_data,updated_at,take_id,source_raw_audio,source_split_audio,source_audio,event_id,event_range,gesture_id,realization_variant,variant,confidence,marker_label_zh,training_value_class,notes
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T001,001,RS_XWC_002_001,RECD2_BATCH01_T001,RECD2_BATCH01_T001:pre_idle_end,pre_idle_end,2.686,audio_seed,accepted,0,true,false,true,true,true,2026-06-19T01:43:19.624800+00:00,T001,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,clean_previews/T001_clean_preview.wav,clean_previews/T001_clean_preview.wav,XWC_P01_N01,,SAN_TIAO_7,clean,clean,0.55,前置空白结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T001,001,RS_XWC_002_001,RECD2_BATCH01_T001,RECD2_BATCH01_T001:gesture_start,gesture_start,2.686,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-19T01:43:19.624800+00:00,T001,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,clean_previews/T001_clean_preview.wav,clean_previews/T001_clean_preview.wav,XWC_P01_N01,,SAN_TIAO_7,clean,clean,0.55,前导起势,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T001,001,RS_XWC_002_001,RECD2_BATCH01_T001,RECD2_BATCH01_T001:render_anchor,render_anchor,2.716,human_adjusted,accepted,-20,true,false,true,true,true,2026-06-19T01:43:19.624800+00:00,T001,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,clean_previews/T001_clean_preview.wav,clean_previews/T001_clean_preview.wav,XWC_P01_N01,,SAN_TIAO_7,clean,clean,0.55,渲染锚点,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T001,001,RS_XWC_002_001,RECD2_BATCH01_T001,RECD2_BATCH01_T001:tail_end,tail_end,6.757,human_adjusted,accepted,2550,true,false,true,true,true,2026-06-19T01:43:19.624800+00:00,T001,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,clean_previews/T001_clean_preview.wav,clean_previews/T001_clean_preview.wav,XWC_P01_N01,,SAN_TIAO_7,clean,clean,0.55,尾音结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T002,002,RS_XWC_002_002,RECD2_BATCH01_T002,RECD2_BATCH01_T002:pre_idle_end,pre_idle_end,1.677,audio_seed,accepted,0,true,false,true,true,true,2026-06-19T01:43:19.624800+00:00,T002,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,clean_previews/T002_clean_preview.wav,clean_previews/T002_clean_preview.wav,XWC_P01_N02,,SAN_GOU_5,clean,clean,0.55,前置空白结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T002,002,RS_XWC_002_002,RECD2_BATCH01_T002,RECD2_BATCH01_T002:gesture_start,gesture_start,1.707,human_adjusted,accepted,-20,true,false,true,true,true,2026-06-19T01:43:19.624800+00:00,T002,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,clean_previews/T002_clean_preview.wav,clean_previews/T002_clean_preview.wav,XWC_P01_N02,,SAN_GOU_5,clean,clean,0.55,前导起势,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T002,002,RS_XWC_002_002,RECD2_BATCH01_T002,RECD2_BATCH01_T002:render_anchor,render_anchor,1.717,human_adjusted,accepted,-10,true,false,true,true,true,2026-06-19T01:43:19.624800+00:00,T002,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,clean_previews/T002_clean_preview.wav,clean_previews/T002_clean_preview.wav,XWC_P01_N02,,SAN_GOU_5,clean,clean,0.55,渲染锚点,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T002,002,RS_XWC_002_002,RECD2_BATCH01_T002,RECD2_BATCH01_T002:tail_end,tail_end,6.132,human_adjusted,accepted,3600,true,false,true,true,true,2026-06-19T01:43:19.624800+00:00,T002,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,clean_previews/T002_clean_preview.wav,clean_previews/T002_clean_preview.wav,XWC_P01_N02,,SAN_GOU_5,clean,clean,0.55,尾音结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T003,003,RS_XWC_002_003,RECD2_BATCH01_T003,RECD2_BATCH01_T003:pre_idle_end,pre_idle_end,1.195,audio_seed,accepted,0,true,false,true,true,true,2026-06-19T01:43:19.624800+00:00,T003,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,clean_previews/T003_clean_preview.wav,clean_previews/T003_clean_preview.wav,XWC_P01_N03,,SAN_TIAO_7,clean,clean,0.55,前置空白结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T003,003,RS_XWC_002_003,RECD2_BATCH01_T003,RECD2_BATCH01_T003:gesture_start,gesture_start,1.235,human_adjusted,accepted,-10,true,false,true,true,true,2026-06-19T01:43:19.624800+00:00,T003,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,clean_previews/T003_clean_preview.wav,clean_previews/T003_clean_preview.wav,XWC_P01_N03,,SAN_TIAO_7,clean,clean,0.55,前导起势,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T003,003,RS_XWC_002_003,RECD2_BATCH01_T003,RECD2_BATCH01_T003:render_anchor,render_anchor,1.235,human_adjusted,accepted,-10,true,false,true,true,true,2026-06-19T01:43:19.624800+00:00,T003,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,clean_previews/T003_clean_preview.wav,clean_previews/T003_clean_preview.wav,XWC_P01_N03,,SAN_TIAO_7,clean,clean,0.55,渲染锚点,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
