recording_session_id,recording_id,piece_id,qinist_id,batch_id,recording_take_no,batch_take_no,script_id,segment_id,marker_id,marker_type,time_s,source,review_status,nudge_total_ms,review_only,production_grade,not_sample_assets,not_render_executed,not_ml_training_data,updated_at,take_id,source_raw_audio,source_split_audio,source_audio,event_id,event_range,gesture_id,realization_variant,variant,confidence,marker_label_zh,training_value_class,notes
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T011,001,RS_XWC_002_011,RECD2_BATCH02_T011,RECD2_BATCH02_T011:pre_idle_end,pre_idle_end,2.529,human_adjusted,accepted,-100,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T011,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T011_clean_preview.wav,clean_previews/T011_clean_preview.wav,XWC_P02_N05,,SAN_TIAO_7,clean,clean,0.55,前置空白结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T011,001,RS_XWC_002_011,RECD2_BATCH02_T011,RECD2_BATCH02_T011:gesture_start,gesture_start,2.579,human_adjusted,accepted,-100,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T011,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T011_clean_preview.wav,clean_previews/T011_clean_preview.wav,XWC_P02_N05,,SAN_TIAO_7,clean,clean,0.55,前导起势,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T011,001,RS_XWC_002_011,RECD2_BATCH02_T011,RECD2_BATCH02_T011:render_anchor,render_anchor,2.629,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T011,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T011_clean_preview.wav,clean_previews/T011_clean_preview.wav,XWC_P02_N05,,SAN_TIAO_7,clean,clean,0.55,渲染锚点,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T011,001,RS_XWC_002_011,RECD2_BATCH02_T011,RECD2_BATCH02_T011:tail_end,tail_end,6.324,human_adjusted,accepted,1900,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T011,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T011_clean_preview.wav,clean_previews/T011_clean_preview.wav,XWC_P02_N05,,SAN_TIAO_7,clean,clean,0.55,尾音结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T012,002,RS_XWC_002_012,RECD2_BATCH02_T012,RECD2_BATCH02_T012:pre_idle_end,pre_idle_end,2.755,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T012,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T012_clean_preview.wav,clean_previews/T012_clean_preview.wav,XWC_P02_N06,,AN_THUMB_9_GOU_4,clean,clean,0.55,前置空白结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T012,002,RS_XWC_002_012,RECD2_BATCH02_T012,RECD2_BATCH02_T012:gesture_start,gesture_start,2.805,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T012,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T012_clean_preview.wav,clean_previews/T012_clean_preview.wav,XWC_P02_N06,,AN_THUMB_9_GOU_4,clean,clean,0.55,前导起势,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T012,002,RS_XWC_002_012,RECD2_BATCH02_T012,RECD2_BATCH02_T012:render_anchor,render_anchor,2.805,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T012,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T012_clean_preview.wav,clean_previews/T012_clean_preview.wav,XWC_P02_N06,,AN_THUMB_9_GOU_4,clean,clean,0.55,渲染锚点,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T012,002,RS_XWC_002_012,RECD2_BATCH02_T012,RECD2_BATCH02_T012:tail_end,tail_end,5.474,human_adjusted,accepted,1200,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T012,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T012_clean_preview.wav,clean_previews/T012_clean_preview.wav,XWC_P02_N06,,AN_THUMB_9_GOU_4,clean,clean,0.55,尾音结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T013,003,RS_XWC_002_013,RECD2_BATCH02_T013,RECD2_BATCH02_T013:pre_idle_end,pre_idle_end,1.500,human_adjusted,accepted,1500,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T013,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T013_clean_preview.wav,clean_previews/T013_clean_preview.wav,XWC_P02_N06,,AN_THUMB_9_GOU_4,clean,clean,0.55,前置空白结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T013,003,RS_XWC_002_013,RECD2_BATCH02_T013,RECD2_BATCH02_T013:gesture_start,gesture_start,1.522,human_adjusted,accepted,1500,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T013,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T013_clean_preview.wav,clean_previews/T013_clean_preview.wav,XWC_P02_N06,,AN_THUMB_9_GOU_4,clean,clean,0.55,前导起势,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T013,003,RS_XWC_002_013,RECD2_BATCH02_T013,RECD2_BATCH02_T013:render_anchor,render_anchor,2.222,human_adjusted,accepted,2200,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T013,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T013_clean_preview.wav,clean_previews/T013_clean_preview.wav,XWC_P02_N06,,AN_THUMB_9_GOU_4,clean,clean,0.55,渲染锚点,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T013,003,RS_XWC_002_013,RECD2_BATCH02_T013,RECD2_BATCH02_T013:tail_end,tail_end,5.911,human_adjusted,accepted,-2000,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T013,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T013_clean_preview.wav,clean_previews/T013_clean_preview.wav,XWC_P02_N06,,AN_THUMB_9_GOU_4,clean,clean,0.55,尾音结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T014,004,RS_XWC_002_014,RECD2_BATCH02_T014,RECD2_BATCH02_T014:pre_idle_end,pre_idle_end,1.882,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T014,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T014_clean_preview.wav,clean_previews/T014_clean_preview.wav,XWC_P03_N01,,SAN_TIAO_6,clean,clean,0.55,前置空白结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T014,004,RS_XWC_002_014,RECD2_BATCH02_T014,RECD2_BATCH02_T014:gesture_start,gesture_start,1.932,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T014,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T014_clean_preview.wav,clean_previews/T014_clean_preview.wav,XWC_P03_N01,,SAN_TIAO_6,clean,clean,0.55,前导起势,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T014,004,RS_XWC_002_014,RECD2_BATCH02_T014,RECD2_BATCH02_T014:render_anchor,render_anchor,1.932,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T014,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T014_clean_preview.wav,clean_previews/T014_clean_preview.wav,XWC_P03_N01,,SAN_TIAO_6,clean,clean,0.55,渲染锚点,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T014,004,RS_XWC_002_014,RECD2_BATCH02_T014,RECD2_BATCH02_T014:tail_end,tail_end,4.337,human_adjusted,accepted,1000,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T014,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T014_clean_preview.wav,clean_previews/T014_clean_preview.wav,XWC_P03_N01,,SAN_TIAO_6,clean,clean,0.55,尾音结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T015,005,RS_XWC_002_015,RECD2_BATCH02_T015,RECD2_BATCH02_T015:pre_idle_end,pre_idle_end,0.830,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:23:32.015924+00:00,T015,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,clean_previews/T015_clean_preview.wav,clean_previews/T015_clean_preview.wav,XWC_P03_N02,,SAN_GOU_4,clean,clean,0.55,前置空白结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
