recording_session_id,recording_id,piece_id,qinist_id,batch_id,recording_take_no,batch_take_no,script_id,segment_id,marker_id,marker_type,time_s,source,review_status,nudge_total_ms,review_only,production_grade,not_sample_assets,not_render_executed,not_ml_training_data,updated_at,take_id,source_raw_audio,source_split_audio,source_audio,event_id,event_range,gesture_id,realization_variant,variant,confidence,marker_label_zh,training_value_class,notes
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T031,001,RS_XWC_002_031,RECD2_BATCH04_T031,RECD2_BATCH04_T031:pre_idle_end,pre_idle_end,2.451,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:42:53.113431+00:00,T031,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,clean_previews/T031_clean_preview.wav,clean_previews/T031_clean_preview.wav,XWC_P05_N02,,SAN_GOU_2,clean,clean,0.55,前置空白结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T031,001,RS_XWC_002_031,RECD2_BATCH04_T031,RECD2_BATCH04_T031:gesture_start,gesture_start,2.501,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:42:53.113431+00:00,T031,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,clean_previews/T031_clean_preview.wav,clean_previews/T031_clean_preview.wav,XWC_P05_N02,,SAN_GOU_2,clean,clean,0.55,前导起势,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T031,001,RS_XWC_002_031,RECD2_BATCH04_T031,RECD2_BATCH04_T031:render_anchor,render_anchor,2.501,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:42:53.113431+00:00,T031,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,clean_previews/T031_clean_preview.wav,clean_previews/T031_clean_preview.wav,XWC_P05_N02,,SAN_GOU_2,clean,clean,0.55,渲染锚点,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T031,001,RS_XWC_002_031,RECD2_BATCH04_T031,RECD2_BATCH04_T031:tail_end,tail_end,4.409,audio_seed,accepted,0,true,false,true,true,true,2026-06-20T02:42:53.113431+00:00,T031,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,clean_previews/T031_clean_preview.wav,clean_previews/T031_clean_preview.wav,XWC_P05_N02,,SAN_GOU_2,clean,clean,0.55,尾音结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T032,002,RS_XWC_002_032,RECD2_BATCH04_T032,RECD2_BATCH04_T032:pre_idle_end,pre_idle_end,0.167,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:42:53.113431+00:00,T032,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,clean_previews/T032_clean_preview.wav,clean_previews/T032_clean_preview.wav,XWC_P05_N03,,SAN_TIAO_3,clean,clean,0.55,前置空白结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T032,002,RS_XWC_002_032,RECD2_BATCH04_T032,RECD2_BATCH04_T032:gesture_start,gesture_start,0.217,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:42:53.113431+00:00,T032,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,clean_previews/T032_clean_preview.wav,clean_previews/T032_clean_preview.wav,XWC_P05_N03,,SAN_TIAO_3,clean,clean,0.55,前导起势,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T032,002,RS_XWC_002_032,RECD2_BATCH04_T032,RECD2_BATCH04_T032:render_anchor,render_anchor,0.217,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:42:53.113431+00:00,T032,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,clean_previews/T032_clean_preview.wav,clean_previews/T032_clean_preview.wav,XWC_P05_N03,,SAN_TIAO_3,clean,clean,0.55,渲染锚点,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T032,002,RS_XWC_002_032,RECD2_BATCH04_T032,RECD2_BATCH04_T032:tail_end,tail_end,2.267,audio_seed,accepted,0,true,false,true,true,true,2026-06-20T02:42:53.113431+00:00,T032,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,clean_previews/T032_clean_preview.wav,clean_previews/T032_clean_preview.wav,XWC_P05_N03,,SAN_TIAO_3,clean,clean,0.55,尾音结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T033,003,RS_XWC_002_033,RECD2_BATCH04_T033,RECD2_BATCH04_T033:pre_idle_end,pre_idle_end,1.203,human_adjusted,accepted,-100,true,false,true,true,true,2026-06-20T02:42:53.113431+00:00,T033,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,clean_previews/T033_clean_preview.wav,clean_previews/T033_clean_preview.wav,XWC_P05_N04,,AN_RING_10_GOU_1,clean,clean,0.55,前置空白结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T033,003,RS_XWC_002_033,RECD2_BATCH04_T033,RECD2_BATCH04_T033:gesture_start,gesture_start,1.253,human_adjusted,accepted,-100,true,false,true,true,true,2026-06-20T02:42:53.113431+00:00,T033,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,clean_previews/T033_clean_preview.wav,clean_previews/T033_clean_preview.wav,XWC_P05_N04,,AN_RING_10_GOU_1,clean,clean,0.55,前导起势,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T033,003,RS_XWC_002_033,RECD2_BATCH04_T033,RECD2_BATCH04_T033:render_anchor,render_anchor,1.303,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:42:53.113431+00:00,T033,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,clean_previews/T033_clean_preview.wav,clean_previews/T033_clean_preview.wav,XWC_P05_N04,,AN_RING_10_GOU_1,clean,clean,0.55,渲染锚点,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T033,003,RS_XWC_002_033,RECD2_BATCH04_T033,RECD2_BATCH04_T033:tail_end,tail_end,3.232,human_adjusted,accepted,500,true,false,true,true,true,2026-06-20T02:42:53.113431+00:00,T033,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,clean_previews/T033_clean_preview.wav,clean_previews/T033_clean_preview.wav,XWC_P05_N04,,AN_RING_10_GOU_1,clean,clean,0.55,尾音结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T034,004,RS_XWC_002_034,RECD2_BATCH04_T034,RECD2_BATCH04_T034:pre_idle_end,pre_idle_end,0.220,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:42:53.113431+00:00,T034,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,clean_previews/T034_clean_preview.wav,clean_previews/T034_clean_preview.wav,XWC_P05_N04,,AN_RING_10_GOU_1,clean,clean,0.55,前置空白结束,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T034,004,RS_XWC_002_034,RECD2_BATCH04_T034,RECD2_BATCH04_T034:gesture_start,gesture_start,0.270,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:42:53.113431+00:00,T034,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,clean_previews/T034_clean_preview.wav,clean_previews/T034_clean_preview.wav,XWC_P05_N04,,AN_RING_10_GOU_1,clean,clean,0.55,前导起势,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch04,T034,004,RS_XWC_002_034,RECD2_BATCH04_T034,RECD2_BATCH04_T034:render_anchor,render_anchor,0.270,human_adjusted,accepted,-50,true,false,true,true,true,2026-06-20T02:42:53.113431+00:00,T034,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch04_T031-T040.wav,clean_previews/T034_clean_preview.wav,clean_previews/T034_clean_preview.wav,XWC_P05_N04,,AN_RING_10_GOU_1,clean,clean,0.55,渲染锚点,review_only_render_alignment_draft,R1 seed marker from audio_seed; requires manual review.
