recording_session_id,recording_id,piece_id,qinist_id,batch_id,recording_take_no,batch_take_no,script_id,take_id,segment_id,source_split_audio,event_id,event_range,gesture_id,realization_variant,pre_idle_end_s,gesture_start_s,render_anchor_s,tail_end_s,render_anchor_type,pre_attack_music_policy,tail_policy,segment_status,review_status,review_only,production_grade,not_sample_assets,not_render_executed,not_ml_training_data,updated_at,source_raw_audio,source_audio,variant,anchor_type,render_usable,segment_status_label_zh,review_status_label_zh,notes
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T051,001,RS_XWC_002_051,T051,RECD2_BATCH06_T051,clean_previews/T051_clean_preview.wav,XWC_P08_N01,,AN_THUMB_9_GOU_5,clean,0.375,0.475,0.525,2.788,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T03:08:19.754736+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,clean_previews/T051_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T052,002,RS_XWC_002_052,T052,RECD2_BATCH06_T052,clean_previews/T052_clean_preview.wav,XWC_P08_N02,,AN_THUMB_9_GOU_6_SHANG_79,clean,1.143,1.193,1.193,3.057,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T03:08:19.754736+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,clean_previews/T052_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T053,003,RS_XWC_002_053,T053,RECD2_BATCH06_T053,clean_previews/T053_clean_preview.wav,XWC_P08_N02,,AN_THUMB_9_GOU_6_SHANG_79,clean,2.042,2.142,2.192,4.475,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T03:08:19.754736+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,clean_previews/T053_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T054,004,RS_XWC_002_054,T054,RECD2_BATCH06_T054,clean_previews/T054_clean_preview.wav,XWC_P08_N03,,SAN_TIAO_7,clean,0.786,0.836,0.836,3.363,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T03:08:19.754736+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,clean_previews/T054_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T055,005,RS_XWC_002_055,T055,RECD2_BATCH06_T055,clean_previews/T055_clean_preview.wav,XWC_P08_N04,,AN_THUMB_9_GOU_4,clean,1.639,1.689,1.689,3.839,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T03:08:19.754736+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,clean_previews/T055_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T056,006,RS_XWC_002_056,T056,RECD2_BATCH06_T056,clean_previews/T056_clean_preview.wav,XWC_P08_N04,,AN_THUMB_9_GOU_4,clean,0.226,0.326,0.376,2.343,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T03:08:19.754736+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,clean_previews/T056_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T057,007,RS_XWC_002_057,T057,RECD2_BATCH06_T057,clean_previews/T057_clean_preview.wav,XWC_P09_N01,,AN_THUMB_9_GOU_4_ZHUANG,clean,2.734,2.784,2.784,4.185,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T03:08:19.754736+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,clean_previews/T057_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T058,008,RS_XWC_002_058,T058,RECD2_BATCH06_T058,clean_previews/T058_clean_preview.wav,XWC_P09_N01,,AN_THUMB_9_GOU_4_ZHUANG,clean,0.000,0.000,0.000,1.526,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T03:08:19.754736+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,clean_previews/T058_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T059,009,RS_XWC_002_059,T059,RECD2_BATCH06_T059,clean_previews/T059_clean_preview.wav,XWC_P09_N02,,AN_RING_10_QIAQI,clean,0.186,0.236,0.236,1.283,context_first_attach,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T03:08:19.754736+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,clean_previews/T059_clean_preview.wav,clean,context_first_attach,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch06,T060,010,RS_XWC_002_060,T060,RECD2_BATCH06_T060,clean_previews/T060_clean_preview.wav,XWC_P09_N02,XWC_P09_N01_to_N02,AN_RING_10_QIAQI,clean,1.423,1.523,1.573,3.973,main_attack,keep_silence,smart_fade_100ms,render_usable,accepted,true,false,true,true,true,2026-06-20T03:08:19.754736+00:00,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch06_T051-T060.wav,clean_previews/T060_clean_preview.wav,clean,main_attack,true,渲染可用,已确认,RECD-2 clean preview only; requires VARW-R1 review before any downstream use.
