recording_session_id,recording_id,piece_id,piece_title,qinist_id,qinist_name,batch_id,recording_take_no,batch_take_no,slate_no,script_id,event_id,event_range,gesture_id,normalized_name,realization_variant,expected_sample_type,source_raw_audio,unit_preview_audio,clean_preview_audio,unit_start_s,unit_end_s,clean_start_s,clean_end_s,slate_start_s,slate_end_s,guqin_start_s,tail_end_s,next_slate_start_s,duration_s,raw_duration_s,split_status,split_blocker_reason,r0_review_status,requires_r1_review,review_only,production_grade,split_preview_only,not_sample_assets,not_recording_segments,not_render_executed,not_ml_training_data,created_at,notes
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T001,001,001,RS_XWC_002_001,XWC_P01_N01,,SAN_TIAO_7,散挑七,straight,atomic,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/unit_previews/T001_unit_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T001_clean_preview.wav,0.890000,11.090000,4.290000,11.090000,0.890,4.290,,,11.090,6.800000,115.170476,preview_created,,accepted,true,true,false,true,true,true,true,true,2026-06-19T08:25:52+08:00,controlled split preview from R0 reviewed split_plan; not sample asset; requires R1 review
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T002,002,002,RS_XWC_002_002,XWC_P01_N02,,SAN_GOU_5,散勾五,straight,atomic,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/unit_previews/T002_unit_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T002_clean_preview.wav,12.140000,22.110000,15.950000,22.110000,12.140,15.950,,,22.110,6.160000,115.170476,preview_created,,accepted,true,true,false,true,true,true,true,true,2026-06-19T08:25:52+08:00,controlled split preview from R0 reviewed split_plan; not sample asset; requires R1 review
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T003,003,003,RS_XWC_002_003,XWC_P01_N03,,SAN_TIAO_7,散挑七,straight,atomic,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/unit_previews/T003_unit_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T003_clean_preview.wav,22.760000,38.580000,27.680000,38.580000,22.760,27.680,,,38.580,10.900000,115.170476,preview_created,,accepted,true,true,false,true,true,true,true,true,2026-06-19T08:25:52+08:00,controlled split preview from R0 reviewed split_plan; not sample asset; requires R1 review
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T004,004,004,RS_XWC_002_004,XWC_P01_N04,,AN_RING_10_GOU_5,名十勾五,straight,atomic,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/unit_previews/T004_unit_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T004_clean_preview.wav,38.580000,48.140000,40.880000,48.140000,38.580,40.880,,,48.140,7.260000,115.170476,preview_created,,accepted,true,true,false,true,true,true,true,true,2026-06-19T08:25:52+08:00,controlled split preview from R0 reviewed split_plan; not sample asset; requires R1 review
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T005,005,005,RS_XWC_002_005,XWC_P01_N04,,AN_RING_10_GOU_5,名十勾五,chuo,atomic,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/unit_previews/T005_unit_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T005_clean_preview.wav,48.140000,57.520000,49.540000,57.520000,48.140,49.540,,,57.520,7.980000,115.170476,preview_created,,accepted,true,true,false,true,true,true,true,true,2026-06-19T08:25:52+08:00,controlled split preview from R0 reviewed split_plan; not sample asset; requires R1 review
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T006,006,006,RS_XWC_002_006,XWC_P02_N01,,SAN_TIAO_7,散挑七,straight,atomic,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/unit_previews/T006_unit_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T006_clean_preview.wav,57.520000,67.320000,59.930000,67.320000,57.520,59.930,,,67.320,7.390000,115.170476,preview_created,,accepted,true,true,false,true,true,true,true,true,2026-06-19T08:25:52+08:00,controlled split preview from R0 reviewed split_plan; not sample asset; requires R1 review
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T007,007,007,RS_XWC_002_007,XWC_P02_N02,,SAN_GOU_5,散勾五,straight,atomic,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/unit_previews/T007_unit_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T007_clean_preview.wav,67.320000,78.060000,69.360000,78.060000,67.320,69.360,,,78.060,8.700000,115.170476,preview_created,,accepted,true,true,false,true,true,true,true,true,2026-06-19T08:25:52+08:00,controlled split preview from R0 reviewed split_plan; not sample asset; requires R1 review
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T008,008,008,RS_XWC_002_008,XWC_P02_N03,,SAN_TIAO_6,散挑六,straight,atomic,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/unit_previews/T008_unit_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T008_clean_preview.wav,78.060000,88.700000,80.560000,88.700000,78.060,80.560,,,88.700,8.140000,115.170476,preview_created,,accepted,true,true,false,true,true,true,true,true,2026-06-19T08:25:52+08:00,controlled split preview from R0 reviewed split_plan; not sample asset; requires R1 review
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T009,009,009,RS_XWC_002_009,XWC_P02_N04,,AN_RING_10_GOU_4,名十勾四,straight,atomic,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/unit_previews/T009_unit_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T009_clean_preview.wav,88.700000,100.060000,90.710000,100.060000,88.700,90.710,,,100.060,9.350000,115.170476,preview_created,,accepted,true,true,false,true,true,true,true,true,2026-06-19T08:25:52+08:00,controlled split preview from R0 reviewed split_plan; not sample asset; requires R1 review
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T010,010,010,RS_XWC_002_010,XWC_P02_N04,,AN_RING_10_GOU_4,名十勾四,chuo,atomic,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/unit_previews/T010_unit_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T010_clean_preview.wav,100.060000,115.170476,102.060000,115.170476,100.060,102.060,,,115.170476,13.110476,115.170476,preview_created,,accepted,true,true,false,true,true,true,true,true,2026-06-19T08:25:52+08:00,controlled split preview from R0 reviewed split_plan; not sample asset; requires R1 review; terminal take uses raw_end policy; no real next slate
