version_id,event_id,event_range,phrase_id,section_id,recording_take_no,batch_id,source_split_audio,gesture_id,realization_variant,target_attack_time_s,segment_insert_time_s,render_anchor_s,render_anchor_type,pre_attack_music_policy,tail_policy,tail_end_s,segment_start_s_in_render,segment_end_s_in_render,crossfade_ms,overlap_ms,phrase_boundary_role,experimental_render,production_grade,not_sample_assets,not_recording_segments,not_ml_training_data
B_PHRASE,XWC_P01_N01,XWC_P01_N01,XWC_P01_LOCAL_PHRASE,XWC_P01,T001,batch01,clean_previews/T001_clean_preview.wav,SAN_TIAO_7,clean,4.000,1.284,2.716,main_attack,keep_silence,smart_fade_100ms,6.757,1.284,8.084,120,30,phrase_start,true,false,true,true,true
B_PHRASE,XWC_P01_N02,XWC_P01_N02,XWC_P01_LOCAL_PHRASE,XWC_P01,T002,batch01,clean_previews/T002_clean_preview.wav,SAN_GOU_5,clean,7.187,5.470,1.717,main_attack,keep_silence,smart_fade_100ms,6.132,5.470,11.630,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P01_N03,XWC_P01_N03,XWC_P01_LOCAL_PHRASE,XWC_P01,T003,batch01,clean_previews/T003_clean_preview.wav,SAN_TIAO_7,clean,10.571,9.336,1.235,main_attack,keep_silence,smart_fade_100ms,6.641,9.336,20.236,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P01_N04,XWC_P01_N04,XWC_P01_LOCAL_PHRASE,XWC_P01,T005,batch01,clean_previews/T005_clean_preview.wav,AN_RING_10_GOU_5,clean,14.390,12.344,2.046,main_attack,preserve,smart_fade_100ms,4.753,12.344,20.324,120,30,phrase_end,true,false,true,true,true
B_PHRASE,XWC_P02_N01,XWC_P02_N01,XWC_P02_LOCAL_PHRASE,XWC_P02,T006,batch01,clean_previews/T006_clean_preview.wav,SAN_TIAO_7,clean,17.602,17.179,0.423,main_attack,keep_silence,smart_fade_100ms,1.915,17.179,24.569,120,30,phrase_start,true,false,true,true,true
B_PHRASE,XWC_P02_N02,XWC_P02_N02,XWC_P02_LOCAL_PHRASE,XWC_P02,T007,batch01,clean_previews/T007_clean_preview.wav,SAN_GOU_5,clean,19.994,19.481,0.513,main_attack,keep_silence,smart_fade_100ms,2.796,19.481,28.181,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P02_N03,XWC_P02_N03,XWC_P02_LOCAL_PHRASE,XWC_P02,T008,batch01,clean_previews/T008_clean_preview.wav,SAN_TIAO_6,clean,22.344,22.028,0.316,main_attack,keep_silence,smart_fade_100ms,4.341,22.028,30.168,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P02_N04,XWC_P02_N04,XWC_P02_LOCAL_PHRASE,XWC_P02,T009,batch01,clean_previews/T009_clean_preview.wav,AN_RING_10_GOU_4,clean,25.395,23.869,1.526,main_attack,keep_silence,smart_fade_100ms,3.766,23.869,33.219,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P02_N05,XWC_P02_N05,XWC_P02_LOCAL_PHRASE,XWC_P02,T011,batch02,clean_previews/T011_clean_preview.wav,SAN_TIAO_7,clean,27.764,25.135,2.629,main_attack,keep_silence,smart_fade_100ms,6.324,25.135,35.705,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P02_N06,XWC_P02_N06,XWC_P02_LOCAL_PHRASE,XWC_P02,T013,batch02,clean_previews/T013_clean_preview.wav,AN_THUMB_9_GOU_4,clean,30.746,28.524,2.222,main_attack,keep_silence,smart_fade_100ms,5.911,28.524,37.434,120,30,phrase_end,true,false,true,true,true
B_PHRASE,XWC_P03_N01,XWC_P03_N01,XWC_P03_LOCAL_PHRASE,XWC_P03,T014,batch02,clean_previews/T014_clean_preview.wav,SAN_TIAO_6,clean,34.426,32.494,1.932,main_attack,keep_silence,smart_fade_100ms,4.337,32.494,39.994,120,30,phrase_start,true,false,true,true,true
