version_id,event_id,event_range,phrase_id,section_id,recording_take_no,batch_id,source_split_audio,gesture_id,realization_variant,target_attack_time_s,segment_insert_time_s,render_anchor_s,render_anchor_type,pre_attack_music_policy,tail_policy,tail_end_s,segment_start_s_in_render,segment_end_s_in_render,crossfade_ms,overlap_ms,phrase_boundary_role,experimental_render,production_grade,not_sample_assets,not_recording_segments,not_ml_training_data
C_QINIST_STYLE,XWC_P01_N01,XWC_P01_N01,XWC_P01_LOCAL_PHRASE,XWC_P01,T001,batch01,clean_previews/T001_clean_preview.wav,SAN_TIAO_7,clean,4.000,1.284,2.716,main_attack,keep_silence,smart_fade_100ms,6.757,1.284,8.084,180,60,phrase_start,true,false,true,true,true
C_QINIST_STYLE,XWC_P01_N02,XWC_P01_N02,XWC_P01_LOCAL_PHRASE,XWC_P01,T002,batch01,clean_previews/T002_clean_preview.wav,SAN_GOU_5,clean,7.094,5.377,1.717,main_attack,keep_silence,smart_fade_100ms,6.132,5.377,11.537,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P01_N03,XWC_P01_N03,XWC_P01_LOCAL_PHRASE,XWC_P01,T003,batch01,clean_previews/T003_clean_preview.wav,SAN_TIAO_7,clean,10.386,9.151,1.235,main_attack,keep_silence,smart_fade_100ms,6.641,9.151,20.051,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P01_N04,XWC_P01_N04,XWC_P01_LOCAL_PHRASE,XWC_P01,T005,batch01,clean_previews/T005_clean_preview.wav,AN_RING_10_GOU_5,clean,14.037,11.991,2.046,main_attack,preserve,smart_fade_100ms,4.753,11.991,19.971,180,60,phrase_end,true,false,true,true,true
C_QINIST_STYLE,XWC_P02_N01,XWC_P02_N01,XWC_P02_LOCAL_PHRASE,XWC_P02,T006,batch01,clean_previews/T006_clean_preview.wav,SAN_TIAO_7,clean,16.785,16.362,0.423,main_attack,keep_silence,smart_fade_100ms,1.915,16.362,23.752,180,60,phrase_start,true,false,true,true,true
C_QINIST_STYLE,XWC_P02_N02,XWC_P02_N02,XWC_P02_LOCAL_PHRASE,XWC_P02,T007,batch01,clean_previews/T007_clean_preview.wav,SAN_GOU_5,clean,18.768,18.255,0.513,main_attack,keep_silence,smart_fade_100ms,2.796,18.255,26.955,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P02_N03,XWC_P02_N03,XWC_P02_LOCAL_PHRASE,XWC_P02,T008,batch01,clean_previews/T008_clean_preview.wav,SAN_TIAO_6,clean,20.822,20.506,0.316,main_attack,keep_silence,smart_fade_100ms,4.341,20.506,28.646,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P02_N04,XWC_P02_N04,XWC_P02_LOCAL_PHRASE,XWC_P02,T010,batch01,clean_previews/T010_clean_preview.wav,AN_RING_10_GOU_4,clean,23.786,21.011,2.775,main_attack,preserve,smart_fade_100ms,4.475,21.011,34.121,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P02_N05,XWC_P02_N05,XWC_P02_LOCAL_PHRASE,XWC_P02,T011,batch02,clean_previews/T011_clean_preview.wav,SAN_TIAO_7,clean,26.053,23.424,2.629,main_attack,keep_silence,smart_fade_100ms,6.324,23.424,33.994,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P02_N06,XWC_P02_N06,XWC_P02_LOCAL_PHRASE,XWC_P02,T013,batch02,clean_previews/T013_clean_preview.wav,AN_THUMB_9_GOU_4,clean,29.021,26.799,2.222,main_attack,keep_silence,smart_fade_100ms,5.911,26.799,35.709,180,60,phrase_end,true,false,true,true,true
C_QINIST_STYLE,XWC_P03_N01,XWC_P03_N01,XWC_P03_LOCAL_PHRASE,XWC_P03,T014,batch02,clean_previews/T014_clean_preview.wav,SAN_TIAO_6,clean,32.347,30.415,1.932,main_attack,keep_silence,smart_fade_100ms,4.337,30.415,37.915,180,60,phrase_start,true,false,true,true,true
C_QINIST_STYLE,XWC_P03_N02,XWC_P03_N02,XWC_P03_LOCAL_PHRASE,XWC_P03,T015,batch02,clean_previews/T015_clean_preview.wav,SAN_GOU_4,clean,34.506,33.626,0.880,main_attack,keep_silence,smart_fade_100ms,3.836,33.626,40.706,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P03_N03,XWC_P03_N03,XWC_P03_LOCAL_PHRASE,XWC_P03,T016,batch02,clean_previews/T016_clean_preview.wav,SAN_TIAO_5,clean,36.829,35.929,0.900,main_attack,keep_silence,smart_fade_100ms,3.135,35.929,43.569,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P03_N04,XWC_P03_N04,XWC_P03_LOCAL_PHRASE,XWC_P03,T018,batch02,clean_previews/T018_clean_preview.wav,AN_RING_10_8_GOU_3,clean,38.863,38.601,0.262,main_attack,keep_silence,smart_fade_100ms,2.823,38.601,44.521,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P03_N05,XWC_P03_N05,XWC_P03_LOCAL_PHRASE,XWC_P03,T019,batch02,clean_previews/T019_clean_preview.wav,SAN_TIAO_6,clean,41.171,41.024,0.147,main_attack,keep_silence,smart_fade_100ms,2.944,41.024,47.604,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P03_N06,XWC_P03_N06,XWC_P03_LOCAL_PHRASE,XWC_P03,T021,batch03,clean_previews/T021_clean_preview.wav,AN_THUMB_9_GOU_3,clean,43.708,42.877,0.831,main_attack,keep_silence,smart_fade_100ms,3.237,42.877,49.077,180,60,phrase_end,true,false,true,true,true
C_QINIST_STYLE,XWC_P04_N01,XWC_P04_N01,XWC_P04_LOCAL_PHRASE,XWC_P04,T022,batch03,clean_previews/T022_clean_preview.wav,SAN_TIAO_5,clean,46.545,45.293,1.252,main_attack,keep_silence,smart_fade_100ms,3.591,45.293,52.433,180,60,phrase_start,true,false,true,true,true
C_QINIST_STYLE,XWC_P04_N02,XWC_P04_N02,XWC_P04_LOCAL_PHRASE,XWC_P04,T023,batch03,clean_previews/T023_clean_preview.wav,SAN_GOU_3,clean,48.811,47.627,1.184,main_attack,keep_silence,smart_fade_100ms,4.814,47.627,55.907,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P04_N03,XWC_P04_N03,XWC_P04_LOCAL_PHRASE,XWC_P04,T024,batch03,clean_previews/T024_clean_preview.wav,SAN_TIAO_4,clean,51.519,50.725,0.794,main_attack,keep_silence,smart_fade_100ms,3.503,50.725,60.345,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P04_N04,XWC_P04_N04,XWC_P04_LOCAL_PHRASE,XWC_P04,T026,batch03,clean_previews/T026_clean_preview.wav,AN_RING_10_GOU_2,clean,53.731,51.740,1.991,main_attack,keep_silence,smart_fade_100ms,3.839,51.740,59.060,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P04_N05,XWC_P04_N05,XWC_P04_LOCAL_PHRASE,XWC_P04,T027,batch03,clean_previews/T027_clean_preview.wav,SAN_TIAO_5,clean,55.751,55.586,0.165,main_attack,keep_silence,smart_fade_100ms,2.257,55.586,62.936,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P04_N06,XWC_P04_N06,XWC_P04_LOCAL_PHRASE,XWC_P04,T029,batch03,clean_previews/T029_clean_preview.wav,AN_THUMB_9_GOU_2,clean,57.899,56.099,1.800,main_attack,keep_silence,smart_fade_100ms,3.649,56.099,63.779,180,60,phrase_end,true,false,true,true,true
C_QINIST_STYLE,XWC_P05_N01,XWC_P05_N01,XWC_P05_LOCAL_PHRASE,XWC_P05,T030,batch03,clean_previews/T030_clean_preview.wav,SAN_TIAO_4,clean,60.619,59.733,0.886,main_attack,keep_silence,smart_fade_100ms,4.140,59.733,70.055,180,60,phrase_start,true,false,true,true,true
C_QINIST_STYLE,XWC_P05_N02,XWC_P05_N02,XWC_P05_LOCAL_PHRASE,XWC_P05,T031,batch04,clean_previews/T031_clean_preview.wav,SAN_GOU_2,clean,63.387,60.886,2.501,main_attack,keep_silence,smart_fade_100ms,4.409,60.886,68.126,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P05_N03,XWC_P05_N03,XWC_P05_LOCAL_PHRASE,XWC_P05,T032,batch04,clean_previews/T032_clean_preview.wav,SAN_TIAO_3,clean,65.588,65.371,0.217,main_attack,keep_silence,smart_fade_100ms,2.267,65.371,72.221,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P05_N04,XWC_P05_N04,XWC_P05_LOCAL_PHRASE,XWC_P05,T034,batch04,clean_previews/T034_clean_preview.wav,AN_RING_10_GOU_1,clean,67.650,67.380,0.270,main_attack,keep_silence,smart_fade_100ms,1.441,67.380,74.450,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P05_N05,XWC_P05_N05,XWC_P05_LOCAL_PHRASE,XWC_P05,T035,batch04,clean_previews/T035_clean_preview.wav,SAN_TIAO_4,clean,69.632,69.495,0.137,main_attack,keep_silence,smart_fade_100ms,2.449,69.495,76.655,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P05_N06,XWC_P05_N06,XWC_P05_LOCAL_PHRASE,XWC_P05,T037,batch04,clean_previews/T037_clean_preview.wav,AN_THUMB_9_GOU_1,clean,71.704,70.841,0.863,main_attack,keep_silence,smart_fade_100ms,2.588,70.841,78.721,180,60,phrase_end,true,false,true,true,true
C_QINIST_STYLE,XWC_P06_N01,XWC_P06_N01,XWC_P06_LOCAL_PHRASE,XWC_P06,T038,batch04,clean_previews/T038_clean_preview.wav,SAN_TIAO_4,clean,74.305,73.673,0.632,main_attack,keep_silence,smart_fade_100ms,3.060,73.673,83.063,180,60,phrase_start,true,false,true,true,true
C_QINIST_STYLE,XWC_P06_N02,XWC_P06_N02,XWC_P06_LOCAL_PHRASE,XWC_P06,T040,batch04,clean_previews/T040_clean_preview.wav,AN_THUMB_9_GOU_1,clean,76.679,74.131,2.548,main_attack,keep_silence,smart_fade_100ms,4.646,74.131,84.553,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P06_N03,XWC_P06_N03,XWC_P06_LOCAL_PHRASE,XWC_P06,T041,batch05,clean_previews/T041_clean_preview.wav,SAN_TIAO_5,clean,78.972,77.260,1.712,main_attack,keep_silence,smart_fade_100ms,3.509,77.260,85.960,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P06_N04,XWC_P06_N04,XWC_P06_LOCAL_PHRASE,XWC_P06,T043,batch05,clean_previews/T043_clean_preview.wav,AN_THUMB_9_GOU_2,clean,81.171,79.637,1.534,main_attack,keep_silence,smart_fade_100ms,2.948,79.637,86.317,180,60,phrase_end,true,false,true,true,true
C_QINIST_STYLE,XWC_P07_N01,XWC_P07_N01,XWC_P07_LOCAL_PHRASE,XWC_P07,T044,batch05,clean_previews/T044_clean_preview.wav,SAN_TIAO_6,clean,83.681,83.034,0.647,main_attack,keep_silence,smart_fade_100ms,2.406,83.034,91.414,180,60,phrase_start,true,false,true,true,true
C_QINIST_STYLE,XWC_P07_N02,XWC_P07_N02,XWC_P07_LOCAL_PHRASE,XWC_P07,T046,batch05,clean_previews/T046_clean_preview.wav,AN_THUMB_9_GOU_3,clean,85.662,84.645,1.017,main_attack,keep_silence,smart_fade_100ms,2.675,84.645,92.845,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P07_N03,XWC_P07_N03,XWC_P07_LOCAL_PHRASE,XWC_P07,T047,batch05,clean_previews/T047_clean_preview.wav,SAN_TIAO_7,clean,87.686,87.280,0.406,main_attack,keep_silence,smart_fade_100ms,3.097,87.280,94.870,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P07_N04,XWC_P07_N04,XWC_P07_LOCAL_PHRASE,XWC_P07,T049,batch05,clean_previews/T049_clean_preview.wav,AN_THUMB_9_GOU_4,clean,90.060,88.504,1.556,main_attack,keep_silence,smart_fade_100ms,3.246,88.504,96.324,180,60,phrase_end,true,false,true,true,true
C_QINIST_STYLE,XWC_P08_N01,XWC_P08_N01,XWC_P08_LOCAL_PHRASE,XWC_P08,T051,batch06,clean_previews/T051_clean_preview.wav,AN_THUMB_9_GOU_5,clean,92.783,92.258,0.525,main_attack,keep_silence,smart_fade_100ms,2.788,92.258,99.338,180,60,phrase_start,true,false,true,true,true
C_QINIST_STYLE,XWC_P08_N02,XWC_P08_N02,XWC_P08_LOCAL_PHRASE,XWC_P08,T053,batch06,clean_previews/T053_clean_preview.wav,AN_THUMB_9_GOU_6_SHANG_79,clean,95.104,92.912,2.192,main_attack,keep_silence,smart_fade_100ms,4.475,92.912,100.972,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P08_N03,XWC_P08_N03,XWC_P08_LOCAL_PHRASE,XWC_P08,T054,batch06,clean_previews/T054_clean_preview.wav,SAN_TIAO_7,clean,97.337,96.501,0.836,main_attack,keep_silence,smart_fade_100ms,3.363,96.501,105.561,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P08_N04,XWC_P08_N04,XWC_P08_LOCAL_PHRASE,XWC_P08,T056,batch06,clean_previews/T056_clean_preview.wav,AN_THUMB_9_GOU_4,clean,99.542,99.166,0.376,main_attack,keep_silence,smart_fade_100ms,2.343,99.166,107.926,180,60,phrase_end,true,false,true,true,true
C_QINIST_STYLE,XWC_P09_N01,XWC_P09_N01,XWC_P09_LOCAL_PHRASE,XWC_P09,T058,batch06,clean_previews/T058_clean_preview.wav,AN_THUMB_9_GOU_4_ZHUANG,clean,101.973,101.973,0.000,main_attack,keep_silence,smart_fade_100ms,1.526,101.973,106.793,180,60,phrase_start,true,false,true,true,true
C_QINIST_STYLE,XWC_P09_N02,XWC_P09_N01_to_N02,XWC_P09_LOCAL_PHRASE,XWC_P09,T071,batch08,clean_previews/T071_clean_preview.wav,AN_RING_10_QIAQI,clean,103.998,101.833,2.165,main_attack,keep_silence,smart_fade_100ms,6.796,101.833,114.666,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P09_N03,XWC_P09_N03,XWC_P09_LOCAL_PHRASE,XWC_P09,T061,batch07,clean_previews/T061_clean_preview.wav,SAN_TIAO_6,clean,107.248,105.697,1.551,main_attack,keep_silence,smart_fade_100ms,3.764,105.697,114.357,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P09_N04,XWC_P09_N04,XWC_P09_LOCAL_PHRASE,XWC_P09,T063,batch07,clean_previews/T063_clean_preview.wav,AN_RING_10_GOU_4,clean,109.529,108.115,1.414,main_attack,keep_silence,smart_fade_100ms,2.798,108.115,115.735,180,60,phrase_end,true,false,true,true,true
C_QINIST_STYLE,XWC_P10_N01,XWC_P10_N01,XWC_P10_LOCAL_PHRASE,XWC_P10,T064,batch07,clean_previews/T064_clean_preview.wav,FAN_SHI_7_GOU_4,clean,112.520,111.460,1.060,main_attack,keep_silence,smart_fade_100ms,3.801,111.460,118.820,180,60,phrase_start,true,false,true,true,true
C_QINIST_STYLE,XWC_P10_N02,XWC_P10_N02,XWC_P10_LOCAL_PHRASE,XWC_P10,T065,batch07,clean_previews/T065_clean_preview.wav,FAN_SHI_7_TIAO_7,clean,114.957,114.633,0.324,main_attack,keep_silence,smart_fade_100ms,2.965,114.633,120.443,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P10_N03,XWC_P10_N03,XWC_P10_LOCAL_PHRASE,XWC_P10,T066,batch07,clean_previews/T066_clean_preview.wav,FAN_SHI_7_TIAO_6,clean,117.211,117.004,0.207,main_attack,keep_silence,smart_fade_100ms,1.960,117.004,124.214,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P10_N04,XWC_P10_N04,XWC_P10_LOCAL_PHRASE,XWC_P10,T067,batch07,clean_previews/T067_clean_preview.wav,FAN_SHI_7_TIAO_4,clean,119.192,119.064,0.128,main_attack,keep_silence,smart_fade_100ms,2.899,119.064,125.924,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P10_N05,XWC_P10_N05,XWC_P10_LOCAL_PHRASE,XWC_P10,T068,batch07,clean_previews/T068_clean_preview.wav,FAN_ZHONG_7_GOU_1,clean,121.476,120.965,0.511,main_attack,keep_silence,smart_fade_100ms,2.197,120.965,126.395,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P10_N06,XWC_P10_N06,XWC_P10_LOCAL_PHRASE,XWC_P10,T069,batch07,clean_previews/T069_clean_preview.wav,FAN_DA_7_BO_6,clean,123.635,122.817,0.818,main_attack,keep_silence,smart_fade_100ms,2.900,122.817,130.067,180,60,within_phrase,true,false,true,true,true
C_QINIST_STYLE,XWC_P10_N07,XWC_P10_N07,XWC_P10_LOCAL_PHRASE,XWC_P10,T070,batch07,clean_previews/T070_clean_preview.wav,FAN_DA7_ZHONG7_CUO_6_1,clean,125.911,123.184,2.727,main_attack,keep_silence,smart_fade_100ms,7.800,123.184,134.605,180,60,phrase_end,true,false,true,true,true
