event_id,phrase_id,section_id,source_version_id,source_sample_id,source_take_id,source_audio,target_attack_time_s,render_anchor_s,phrase_play_start_s,phrase_play_end_s,phrase_tail_end_s,revision_applied,user_review_source,gpt_review_decision,flags,tail_policy,source_tail_policy,tail_preservation_policy,source_preview_refresh,source_preview_duration_s
XWC_P01_N01,XWC_P01_LOCAL_PHRASE,XWC_P01,E_REVIEWED,RECD2_BATCH01_T001,T001,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T001_clean_preview.wav,2.817,2.716,2.697,9.225,14.182,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p01_class_tighten_n03_to_n04,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p01_class_tighten_n03_to_n04,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,6.800000
XWC_P01_N02,XWC_P01_LOCAL_PHRASE,XWC_P01,E_REVIEWED,RECD2_BATCH01_T002,T002,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T002_clean_preview.wav,3.650,1.717,2.697,9.225,14.182,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p01_class_tighten_n03_to_n04,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p01_class_tighten_n03_to_n04,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,6.160000
XWC_P01_N03,XWC_P01_LOCAL_PHRASE,XWC_P01,E_REVIEWED,RECD2_BATCH01_T003,T003,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T003_clean_preview.wav,4.517,1.235,2.697,9.225,14.182,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p01_class_tighten_n03_to_n04,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p01_class_tighten_n03_to_n04,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,10.900000
XWC_P01_N04,XWC_P01_LOCAL_PHRASE,XWC_P01,E_REVIEWED,RECD2_BATCH01_T005,T005,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T005_clean_preview.wav,6.453,2.046,2.697,9.225,14.182,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p01_class_tighten_n03_to_n04,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p01_class_tighten_n03_to_n04,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,7.980000
XWC_P02_N01,XWC_P02_LOCAL_PHRASE,XWC_P02,E_REVIEWED,RECD2_BATCH01_T006,T006,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T006_clean_preview.wav,9.255,0.423,9.135,17.584,21.690,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,7.390000
XWC_P02_N02,XWC_P02_LOCAL_PHRASE,XWC_P02,E_REVIEWED,RECD2_BATCH01_T007,T007,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T007_clean_preview.wav,9.955,0.513,9.135,17.584,21.690,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,8.700000
XWC_P02_N03,XWC_P02_LOCAL_PHRASE,XWC_P02,E_REVIEWED,RECD2_BATCH02_T014,T014,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T014_clean_preview.wav,10.641,1.932,9.135,17.584,21.690,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|t008_excluded=true|t008_safe_replacement=T014|replacement_priority=exact_baiya_san_tiao_6|source_gesture_id=SAN_TIAO_6|original_unsafe_take=T008|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,7.500000
XWC_P02_N04,XWC_P02_LOCAL_PHRASE,XWC_P02,E_REVIEWED,RECD2_BATCH01_T010,T010,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T010_clean_preview.wav,11.355,2.775,9.135,17.584,21.690,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,13.110476
XWC_P02_N05,XWC_P02_LOCAL_PHRASE,XWC_P02,E_REVIEWED,RECD2_BATCH02_T011,T011,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T011_clean_preview.wav,12.121,2.629,9.135,17.584,21.690,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,10.570000
XWC_P02_N06,XWC_P02_LOCAL_PHRASE,XWC_P02,E_REVIEWED,RECD2_BATCH02_T013,T013,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T013_clean_preview.wav,14.145,2.222,9.135,17.584,21.690,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,8.910000
XWC_P03_N01,XWC_P03_LOCAL_PHRASE,XWC_P03,E_REVIEWED,RECD2_BATCH02_T014,T014,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T014_clean_preview.wav,17.614,1.932,17.494,25.251,27.874,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,7.500000
