render_set_id,version_id,phrase_id,section_id,boundary_status,phrase_start_s,phrase_end_s,phrase_play_start_s,phrase_play_end_s,phrase_tail_end_s,next_phrase_first_attack_s,phrase_end_policy,breath_points_s,cadence_point_s,review_status,gpt_review_pending,e_revision_plan_generated,e_generated,experimental_render,review_only,production_grade
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P01_LOCAL_PHRASE,XWC_P01,candidate,1.284,20.877,1.284,16.785,20.877,16.815,before_next_phrase_first_attack_minus_0.03s,7.174,13.995,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P01_LOCAL_PHRASE,XWC_P01,candidate,1.284,20.324,1.284,17.572,20.324,17.602,before_next_phrase_first_attack_minus_0.03s,7.473,14.640,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P01_LOCAL_PHRASE,XWC_P01,accepted,1.284,20.051,1.284,16.755,20.051,16.785,before_next_phrase_first_attack_minus_0.03s,7.163,13.970,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P01_LOCAL_PHRASE,XWC_P01,candidate,1.284,21.702,1.284,18.560,21.702,18.590,before_next_phrase_first_attack_minus_0.03s,7.849,15.450,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P02_LOCAL_PHRASE,XWC_P02,candidate,16.392,35.239,16.392,32.738,35.239,32.768,before_next_phrase_first_attack_minus_0.03s,22.603,29.796,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P02_LOCAL_PHRASE,XWC_P02,candidate,17.179,37.434,17.179,34.396,37.434,34.426,before_next_phrase_first_attack_minus_0.03s,23.721,31.297,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P02_LOCAL_PHRASE,XWC_P02,accepted,16.362,35.709,16.362,32.317,35.709,32.347,before_next_phrase_first_attack_minus_0.03s,22.425,29.445,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P02_LOCAL_PHRASE,XWC_P02,candidate,18.167,39.064,18.167,37.369,39.064,37.399,before_next_phrase_first_attack_minus_0.03s,25.464,33.913,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P03_LOCAL_PHRASE,XWC_P03,candidate,30.836,51.542,30.836,47.724,51.542,47.754,before_next_phrase_first_attack_minus_0.03s,37.253,44.684,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P03_LOCAL_PHRASE,XWC_P03,candidate,32.494,52.352,32.494,49.945,52.352,49.975,before_next_phrase_first_attack_minus_0.03s,39.125,46.804,draft,true,false,false,true,true,false
