review_id,phrase_id,version_id,section_id,issue_type,severity,review_status,gpt_review_pending,e_revision_plan_generated,e_generated,experimental_render,review_only,production_grade
R2_REVIEW_XWC_P01_LOCAL_PHRASE_C_QINIST_STYLE,XWC_P01_LOCAL_PHRASE,C_QINIST_STYLE,XWC_P01,phrase_unclear,low,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P02_LOCAL_PHRASE_C_QINIST_STYLE,XWC_P02_LOCAL_PHRASE,C_QINIST_STYLE,XWC_P02,phrase_unclear,low,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_B_PHRASE,XWC_P09_LOCAL_PHRASE,B_PHRASE,XWC_P09,context_take_overused,high,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_C_QINIST_STYLE,XWC_P09_LOCAL_PHRASE,C_QINIST_STYLE,XWC_P09,context_take_overused,high,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_D_TEACHING_DIAGNOSTIC,XWC_P09_LOCAL_PHRASE,D_TEACHING_DIAGNOSTIC,XWC_P09,context_take_overused,high,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P01_LOCAL_PHRASE_C_QINIST_STYLE,XWC_P01_LOCAL_PHRASE,C_QINIST_STYLE,XWC_P01,phrase_unclear,medium,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P02_LOCAL_PHRASE_C_QINIST_STYLE,XWC_P02_LOCAL_PHRASE,C_QINIST_STYLE,XWC_P02,phrase_unclear,medium,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_B_PHRASE,XWC_P09_LOCAL_PHRASE,B_PHRASE,XWC_P09,context_take_overused,high,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_C_QINIST_STYLE,XWC_P09_LOCAL_PHRASE,C_QINIST_STYLE,XWC_P09,context_take_overused,high,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_D_TEACHING_DIAGNOSTIC,XWC_P09_LOCAL_PHRASE,D_TEACHING_DIAGNOSTIC,XWC_P09,context_take_overused,high,draft,true,false,false,true,true,false
