render_set_id,version_id,phrase_id,section_id,boundary_status,phrase_start_s,phrase_end_s,phrase_play_start_s,phrase_play_end_s,phrase_tail_end_s,next_phrase_first_attack_s,phrase_end_policy,breath_points_s,cadence_point_s,review_status,gpt_review_pending,e_revision_plan_generated,e_generated,f_generation_pending,f_input_source,f_not_generated,f_generation_completed,f_version_id,experimental_render,review_only,production_grade
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P01_LOCAL_PHRASE,XWC_P01,candidate,1.284,20.877,1.284,16.785,20.877,16.815,before_next_phrase_first_attack_minus_0.03s,7.174,13.995,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P01_LOCAL_PHRASE,XWC_P01,candidate,1.284,20.324,1.284,17.572,20.324,17.602,before_next_phrase_first_attack_minus_0.03s,7.473,14.640,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P01_LOCAL_PHRASE,XWC_P01,accepted,1.284,20.051,1.284,16.755,20.051,16.785,before_next_phrase_first_attack_minus_0.03s,7.163,13.970,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P01_LOCAL_PHRASE,XWC_P01,candidate,1.284,21.702,1.284,18.560,21.702,18.590,before_next_phrase_first_attack_minus_0.03s,7.849,15.450,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P02_LOCAL_PHRASE,XWC_P02,candidate,16.392,35.239,16.392,32.738,35.239,32.768,before_next_phrase_first_attack_minus_0.03s,22.603,29.796,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P02_LOCAL_PHRASE,XWC_P02,candidate,17.179,37.434,17.179,34.396,37.434,34.426,before_next_phrase_first_attack_minus_0.03s,23.721,31.297,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P02_LOCAL_PHRASE,XWC_P02,accepted,16.362,35.709,16.362,32.317,35.709,32.347,before_next_phrase_first_attack_minus_0.03s,22.425,29.445,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P02_LOCAL_PHRASE,XWC_P02,candidate,18.167,39.064,18.167,37.369,39.064,37.399,before_next_phrase_first_attack_minus_0.03s,25.464,33.913,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P03_LOCAL_PHRASE,XWC_P03,candidate,30.836,51.542,30.836,47.724,51.542,47.754,before_next_phrase_first_attack_minus_0.03s,37.253,44.684,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P03_LOCAL_PHRASE,XWC_P03,candidate,32.494,52.352,32.494,49.945,52.352,49.975,before_next_phrase_first_attack_minus_0.03s,39.125,46.804,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P03_LOCAL_PHRASE,XWC_P03,accepted,30.415,49.077,30.415,46.515,49.077,46.545,before_next_phrase_first_attack_minus_0.03s,36.533,43.617,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P03_LOCAL_PHRASE,XWC_P03,candidate,35.467,58.223,35.467,55.317,58.223,55.347,before_next_phrase_first_attack_minus_0.03s,43.010,51.744,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P04_LOCAL_PHRASE,XWC_P04,candidate,46.502,67.317,46.502,62.912,67.317,62.942,before_next_phrase_first_attack_minus_0.03s,52.738,59.958,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P04_LOCAL_PHRASE,XWC_P04,candidate,48.723,68.756,48.723,65.940,68.756,65.970,before_next_phrase_first_attack_minus_0.03s,55.265,62.841,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P04_LOCAL_PHRASE,XWC_P04,accepted,45.293,63.779,45.293,60.589,63.779,60.619,before_next_phrase_first_attack_minus_0.03s,51.105,57.836,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P04_LOCAL_PHRASE,XWC_P04,candidate,54.095,77.023,54.095,73.568,77.023,73.598,before_next_phrase_first_attack_minus_0.03s,61.495,70.063,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P05_LOCAL_PHRASE,XWC_P05,candidate,62.056,81.132,62.056,77.892,81.132,77.922,before_next_phrase_first_attack_minus_0.03s,68.074,75.042,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P05_LOCAL_PHRASE,XWC_P05,candidate,65.084,85.225,65.084,81.303,85.225,81.333,before_next_phrase_first_attack_minus_0.03s,71.247,78.384,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
