recording_session_id,recording_id,piece_id,piece_title,qinist_id,qinist_name,batch_id,recording_take_no,batch_take_no,script_id,event_id,event_range,gesture_id,normalized_name,realization_variant,expected_sample_type,source_split_audio,clean_preview_audio,segment_id,duration_s,pre_idle_end_s,gesture_start_s,render_anchor_s,tail_end_s,render_anchor_type,pre_attack_music_policy,tail_policy,segment_status,human_listening_status,render_input_status,render_input_blocker,review_only,production_grade,not_sample_assets,not_recording_segments,not_render_executed,not_ml_training_data
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T001,001,RS_XWC_002_001,XWC_P01_N01,,SAN_TIAO_7,san_tiao_7,clean,straight,clean_previews/T001_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T001_clean_preview.wav,RECD2_BATCH01_T001,6.800,2.686,2.686,2.716,6.757,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T002,002,RS_XWC_002_002,XWC_P01_N02,,SAN_GOU_5,san_gou_5,clean,straight,clean_previews/T002_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T002_clean_preview.wav,RECD2_BATCH01_T002,6.160,1.677,1.707,1.717,6.132,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T003,003,RS_XWC_002_003,XWC_P01_N03,,SAN_TIAO_7,san_tiao_7,clean,straight,clean_previews/T003_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T003_clean_preview.wav,RECD2_BATCH01_T003,10.900,1.195,1.235,1.235,6.641,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T004,004,RS_XWC_002_004,XWC_P01_N04,,AN_RING_10_GOU_5,an_ring_10_gou_5,clean,chuo,clean_previews/T004_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T004_clean_preview.wav,RECD2_BATCH01_T004,7.260,0.408,0.458,0.498,2.606,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T005,005,RS_XWC_002_005,XWC_P01_N04,,AN_RING_10_GOU_5,an_ring_10_gou_5,clean,chuo,clean_previews/T005_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T005_clean_preview.wav,RECD2_BATCH01_T005,7.980,1.996,2.046,2.046,4.753,main_attack,preserve,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T006,006,RS_XWC_002_006,XWC_P02_N01,,SAN_TIAO_7,san_tiao_7,clean,straight,clean_previews/T006_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T006_clean_preview.wav,RECD2_BATCH01_T006,7.390,0.383,0.423,0.423,1.915,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T007,007,RS_XWC_002_007,XWC_P02_N02,,SAN_GOU_5,san_gou_5,clean,straight,clean_previews/T007_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T007_clean_preview.wav,RECD2_BATCH01_T007,8.700,0.473,0.513,0.513,2.796,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T008,008,RS_XWC_002_008,XWC_P02_N03,,SAN_TIAO_6,san_tiao_6,clean,straight,clean_previews/T008_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T008_clean_preview.wav,RECD2_BATCH01_T008,8.140,0.286,0.316,0.316,4.341,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T009,009,RS_XWC_002_009,XWC_P02_N04,,AN_RING_10_GOU_4,an_ring_10_gou_4,clean,chuo,clean_previews/T009_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T009_clean_preview.wav,RECD2_BATCH01_T009,9.350,1.486,1.526,1.526,3.766,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch01,T010,010,RS_XWC_002_010,XWC_P02_N04,,AN_RING_10_GOU_4,an_ring_10_gou_4,clean,chuo,clean_previews/T010_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T010_clean_preview.wav,RECD2_BATCH01_T010,13.110,2.705,2.775,2.775,4.475,main_attack,preserve,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch02,T011,001,RS_XWC_002_011,XWC_P02_N05,,SAN_TIAO_7,san_tiao_7,clean,straight,clean_previews/T011_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T011_clean_preview.wav,RECD2_BATCH02_T011,10.570,2.529,2.579,2.629,6.324,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch02,T012,002,RS_XWC_002_012,XWC_P02_N06,,AN_THUMB_9_GOU_4,an_thumb_9_gou_4,clean,chuo,clean_previews/T012_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T012_clean_preview.wav,RECD2_BATCH02_T012,8.120,2.755,2.805,2.805,5.474,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch02,T013,003,RS_XWC_002_013,XWC_P02_N06,,AN_THUMB_9_GOU_4,an_thumb_9_gou_4,clean,chuo,clean_previews/T013_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T013_clean_preview.wav,RECD2_BATCH02_T013,8.910,1.500,1.522,2.222,5.911,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch02,T014,004,RS_XWC_002_014,XWC_P03_N01,,SAN_TIAO_6,san_tiao_6,clean,straight,clean_previews/T014_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T014_clean_preview.wav,RECD2_BATCH02_T014,7.500,1.882,1.932,1.932,4.337,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch02,T015,005,RS_XWC_002_015,XWC_P03_N02,,SAN_GOU_4,san_gou_4,clean,straight,clean_previews/T015_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T015_clean_preview.wav,RECD2_BATCH02_T015,7.080,0.830,0.880,0.880,3.836,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch02,T016,006,RS_XWC_002_016,XWC_P03_N03,,SAN_TIAO_5,san_tiao_5,clean,straight,clean_previews/T016_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T016_clean_preview.wav,RECD2_BATCH02_T016,7.640,0.850,0.850,0.900,3.135,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch02,T017,007,RS_XWC_002_017,XWC_P03_N04,,AN_RING_10_8_GOU_3,an_ring_10_8_gou_3,clean,zhu,clean_previews/T017_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T017_clean_preview.wav,RECD2_BATCH02_T017,6.780,0.676,0.726,0.726,2.690,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch02,T018,008,RS_XWC_002_018,XWC_P03_N04,,AN_RING_10_8_GOU_3,an_ring_10_8_gou_3,clean,zhu,clean_previews/T018_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T018_clean_preview.wav,RECD2_BATCH02_T018,5.920,0.000,0.242,0.262,2.823,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch02,T019,009,RS_XWC_002_019,XWC_P03_N05,,SAN_TIAO_6,san_tiao_6,clean,straight,clean_previews/T019_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T019_clean_preview.wav,RECD2_BATCH02_T019,6.580,0.097,0.147,0.147,2.944,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch02,T020,010,RS_XWC_002_020,XWC_P03_N06,,AN_THUMB_9_GOU_3,an_thumb_9_gou_3,clean,chuo,clean_previews/T020_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T020_clean_preview.wav,RECD2_BATCH02_T020,8.525,1.949,1.999,1.999,4.433,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch03,T021,001,RS_XWC_002_021,XWC_P03_N06,,AN_THUMB_9_GOU_3,an_thumb_9_gou_3,clean,chuo,clean_previews/T021_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T021_clean_preview.wav,RECD2_BATCH03_T021,6.200,0.731,0.831,0.831,3.237,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch03,T022,002,RS_XWC_002_022,XWC_P04_N01,,SAN_TIAO_5,san_tiao_5,clean,straight,clean_previews/T022_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T022_clean_preview.wav,RECD2_BATCH03_T022,7.140,1.202,1.252,1.252,3.591,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch03,T023,003,RS_XWC_002_023,XWC_P04_N02,,SAN_GOU_3,san_gou_3,clean,straight,clean_previews/T023_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T023_clean_preview.wav,RECD2_BATCH03_T023,8.280,1.134,1.184,1.184,4.814,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,仙翁操,QINIST_002,白牙,batch03,T024,004,RS_XWC_002_024,XWC_P04_N03,,SAN_TIAO_4,san_tiao_4,clean,straight,clean_previews/T024_clean_preview.wav,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T024_clean_preview.wav,RECD2_BATCH03_T024,9.620,0.744,0.794,0.794,3.503,main_attack,keep_silence,smart_fade_100ms,render_usable,passed,ready,,true,false,true,true,true,true
