event_id,gesture_id,required_realization_variants,required_render_rows,baiya_candidate_count,baiya_take_ids,baiya_candidate_variants,mapping_status,dummy_fallback_needed,multiple_candidates,notes
XWC_P01_N01,SAN_TIAO_7,straight,4,1,T001,clean,covered,false,false,Baiya source variant is clean preview; expected render sample type is derived from current V1 render_events
XWC_P01_N02,SAN_GOU_5,straight,4,1,T002,clean,covered,false,false,Baiya source variant is clean preview; expected render sample type is derived from current V1 render_events
XWC_P01_N03,SAN_TIAO_7,straight,4,1,T003,clean,covered,false,false,Baiya source variant is clean preview; expected render sample type is derived from current V1 render_events
XWC_P01_N04,AN_RING_10_GOU_5,chuo,4,2,T004|T005,clean,covered,false,true,Baiya source variant is clean preview; expected render sample type is derived from current V1 render_events
XWC_P02_N01,SAN_TIAO_7,straight,4,1,T006,clean,covered,false,false,Baiya source variant is clean preview; expected render sample type is derived from current V1 render_events
XWC_P02_N02,SAN_GOU_5,straight,4,1,T007,clean,covered,false,false,Baiya source variant is clean preview; expected render sample type is derived from current V1 render_events
XWC_P02_N03,SAN_TIAO_6,straight,4,1,T008,clean,covered,false,false,Baiya source variant is clean preview; expected render sample type is derived from current V1 render_events
XWC_P02_N04,AN_RING_10_GOU_4,chuo,4,2,T009|T010,clean,covered,false,true,Baiya source variant is clean preview; expected render sample type is derived from current V1 render_events
XWC_P02_N05,SAN_TIAO_7,straight,4,1,T011,clean,covered,false,false,Baiya source variant is clean preview; expected render sample type is derived from current V1 render_events
XWC_P02_N06,AN_THUMB_9_GOU_4,chuo,4,2,T012|T013,clean,covered,false,true,Baiya source variant is clean preview; expected render sample type is derived from current V1 render_events
XWC_P03_N01,SAN_TIAO_6,straight,4,1,T014,clean,covered,false,false,Baiya source variant is clean preview; expected render sample type is derived from current V1 render_events
XWC_P03_N02,SAN_GOU_4,straight,4,1,T015,clean,covered,false,false,Baiya source variant is clean preview; expected render sample type is derived from current V1 render_events
XWC_P03_N03,SAN_TIAO_5,straight,4,1,T016,clean,covered,false,false,Baiya source variant is clean preview; expected render sample type is derived from current V1 render_events
XWC_P03_N04,AN_RING_10_8_GOU_3,zhu,4,2,T017|T018,clean,covered,false,true,Baiya source variant is clean preview; expected render sample type is derived from current V1 render_events
XWC_P03_N05,SAN_TIAO_6,straight,4,1,T019,clean,covered,false,false,Baiya source variant is clean preview; expected render sample type is derived from current V1 render_events
XWC_P03_N06,AN_THUMB_9_GOU_3,chuo,4,2,T020|T021,clean,covered,false,true,Baiya source variant is clean preview; expected render sample type is derived from current V1 render_events
