event_id,phrase_id,section_id,source_version_id,source_sample_id,source_take_id,source_audio,target_attack_time_s,render_anchor_s,phrase_play_start_s,phrase_play_end_s,phrase_tail_end_s,revision_applied,user_review_source,gpt_review_decision,flags
XWC_P01_N01,XWC_P01_LOCAL_PHRASE,XWC_P01,C_QINIST_STYLE,RECD2_BATCH01_T001,T001,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T001_clean_preview.wav,4.000,2.716,1.284,13.627,12.557,C_QINIST_STYLE->C_QINIST_STYLE: 123——4——,"C_QINIST_STYLE/试试其它节拍/123——4——/[""phrase_unclear""]","C_QINIST_STYLE preferred as base, apply user rhythm 123--4--.",rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P01_N02,XWC_P01_LOCAL_PHRASE,XWC_P01,C_QINIST_STYLE,RECD2_BATCH01_T002,T002,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T002_clean_preview.wav,5.250,1.717,1.284,13.627,12.557,C_QINIST_STYLE->C_QINIST_STYLE: 123——4——,"C_QINIST_STYLE/试试其它节拍/123——4——/[""phrase_unclear""]","C_QINIST_STYLE preferred as base, apply user rhythm 123--4--.",rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P01_N03,XWC_P01_LOCAL_PHRASE,XWC_P01,C_QINIST_STYLE,RECD2_BATCH01_T003,T003,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T003_clean_preview.wav,6.550,1.235,1.284,13.627,12.557,C_QINIST_STYLE->C_QINIST_STYLE: 123——4——,"C_QINIST_STYLE/试试其它节拍/123——4——/[""phrase_unclear""]","C_QINIST_STYLE preferred as base, apply user rhythm 123--4--.",rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P01_N04,XWC_P01_LOCAL_PHRASE,XWC_P01,C_QINIST_STYLE,RECD2_BATCH01_T005,T005,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T005_clean_preview.wav,9.850,2.046,1.284,13.627,12.557,C_QINIST_STYLE->C_QINIST_STYLE: 123——4——,"C_QINIST_STYLE/试试其它节拍/123——4——/[""phrase_unclear""]","C_QINIST_STYLE preferred as base, apply user rhythm 123--4--.",rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P02_N01,XWC_P02_LOCAL_PHRASE,XWC_P02,C_QINIST_STYLE,RECD2_BATCH01_T006,T006,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T006_clean_preview.wav,13.657,0.423,13.234,26.166,25.096,C_QINIST_STYLE->C_QINIST_STYLE: 12345——6——,"C_QINIST_STYLE/试试其它节拍/12345——6——/[""phrase_unclear""]","C_QINIST_STYLE preferred as base, apply user rhythm 12345--6--.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P02_N02,XWC_P02_LOCAL_PHRASE,XWC_P02,C_QINIST_STYLE,RECD2_BATCH01_T007,T007,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T007_clean_preview.wav,14.707,0.513,13.234,26.166,25.096,C_QINIST_STYLE->C_QINIST_STYLE: 12345——6——,"C_QINIST_STYLE/试试其它节拍/12345——6——/[""phrase_unclear""]","C_QINIST_STYLE preferred as base, apply user rhythm 12345--6--.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P02_N03,XWC_P02_LOCAL_PHRASE,XWC_P02,C_QINIST_STYLE,RECD2_BATCH01_T008,T008,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T008_clean_preview.wav,15.737,0.316,13.234,26.166,25.096,C_QINIST_STYLE->C_QINIST_STYLE: 12345——6——,"C_QINIST_STYLE/试试其它节拍/12345——6——/[""phrase_unclear""]","C_QINIST_STYLE preferred as base, apply user rhythm 12345--6--.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P02_N04,XWC_P02_LOCAL_PHRASE,XWC_P02,C_QINIST_STYLE,RECD2_BATCH01_T010,T010,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T010_clean_preview.wav,16.807,2.775,13.234,26.166,25.096,C_QINIST_STYLE->C_QINIST_STYLE: 12345——6——,"C_QINIST_STYLE/试试其它节拍/12345——6——/[""phrase_unclear""]","C_QINIST_STYLE preferred as base, apply user rhythm 12345--6--.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P02_N05,XWC_P02_LOCAL_PHRASE,XWC_P02,C_QINIST_STYLE,RECD2_BATCH02_T011,T011,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T011_clean_preview.wav,17.957,2.629,13.234,26.166,25.096,C_QINIST_STYLE->C_QINIST_STYLE: 12345——6——,"C_QINIST_STYLE/试试其它节拍/12345——6——/[""phrase_unclear""]","C_QINIST_STYLE preferred as base, apply user rhythm 12345--6--.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P02_N06,XWC_P02_LOCAL_PHRASE,XWC_P02,C_QINIST_STYLE,RECD2_BATCH02_T013,T013,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T013_clean_preview.wav,21.407,2.222,13.234,26.166,25.096,C_QINIST_STYLE->C_QINIST_STYLE: 12345——6——,"C_QINIST_STYLE/试试其它节拍/12345——6——/[""phrase_unclear""]","C_QINIST_STYLE preferred as base, apply user rhythm 12345--6--.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
