component_id_v0_2,label_zh,component_family,major_category,source_component_id_v0_1,source_image_path_v0_1,legacy_refs,semantic_alias_refs,needs_review,notes
COMP-801,入乱,rhythm_marker_family,节奏谱字,COMP-100,sources/qxby_component_atlas/images/jiezou_puzi/COMP-100_入乱.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-802,入慢,rhythm_marker_family,节奏谱字,COMP-101,sources/qxby_component_atlas/images/jiezou_puzi/COMP-101_入慢.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-803,入拍,rhythm_marker_family,节奏谱字,COMP-102,sources/qxby_component_atlas/images/jiezou_puzi/COMP-102_入拍.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-804,大慢,rhythm_marker_family,节奏谱字,COMP-103,sources/qxby_component_atlas/images/jiezou_puzi/COMP-103_大慢.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-805,实,rhythm_marker_family,节奏谱字,COMP-104,sources/qxby_component_atlas/images/jiezou_puzi/COMP-104_实.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-806,少息,rhythm_marker_family,节奏谱字,COMP-105,sources/qxby_component_atlas/images/jiezou_puzi/COMP-105_少息.png,COMP-003,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-807,急,rhythm_marker_family,节奏谱字,COMP-106,sources/qxby_component_atlas/images/jiezou_puzi/COMP-106_急.png,COMP-030,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-808,急作,rhythm_marker_family,节奏谱字,COMP-107,sources/qxby_component_atlas/images/jiezou_puzi/COMP-107_急作.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-809,息,rhythm_marker_family,节奏谱字,COMP-108,sources/qxby_component_atlas/images/jiezou_puzi/COMP-108_息.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-810,慢,rhythm_marker_family,节奏谱字,COMP-109,sources/qxby_component_atlas/images/jiezou_puzi/COMP-109_慢.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-811,接,rhythm_marker_family,节奏谱字,COMP-110,sources/qxby_component_atlas/images/jiezou_puzi/COMP-110_接.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-812,渐慢,rhythm_marker_family,节奏谱字,COMP-111,sources/qxby_component_atlas/images/jiezou_puzi/COMP-111_渐慢.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-813,紧,rhythm_marker_family,节奏谱字,COMP-112,sources/qxby_component_atlas/images/jiezou_puzi/COMP-112_紧.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-814,缓,rhythm_marker_family,节奏谱字,COMP-113,sources/qxby_component_atlas/images/jiezou_puzi/COMP-113_缓.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-815,缓作,rhythm_marker_family,节奏谱字,COMP-114,sources/qxby_component_atlas/images/jiezou_puzi/COMP-114_缓作.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-816,蓄,rhythm_marker_family,节奏谱字,COMP-115,sources/qxby_component_atlas/images/jiezou_puzi/COMP-115_蓄.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-817,虚,rhythm_marker_family,节奏谱字,COMP-116,sources/qxby_component_atlas/images/jiezou_puzi/COMP-116_虚.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-818,踢宕,rhythm_marker_family,节奏谱字,COMP-117,sources/qxby_component_atlas/images/jiezou_puzi/COMP-117_踢宕.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-819,轻,rhythm_marker_family,节奏谱字,COMP-118,sources/qxby_component_atlas/images/jiezou_puzi/COMP-118_轻.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-820,连,rhythm_marker_family,节奏谱字,COMP-119,sources/qxby_component_atlas/images/jiezou_puzi/COMP-119_连.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-821,重,rhythm_marker_family,节奏谱字,COMP-120,sources/qxby_component_atlas/images/jiezou_puzi/COMP-120_重.png,,,false,category_based_v0_2 primary ID; source image not rewritten
