recording_session_id,recording_id,recording_take_no,batch_take_no,script_id,legacy_source_type,legacy_source_path,event_id,event_range,gesture_id,normalized_name,expected_sample_type,realization_variant,realization_pre_action,source_raw_file,take_start_time_s,take_end_time_s,slate_text,take_quality,performer_note,engineer_note,needs_reshoot,selected_for_segment,selected_for_sample,notes
,RS_XWC_001,001,001,RS_XWC_001_001,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P01_N01,,SAN_TIAO_7,散挑七,atomic,straight,none,,,,001,,,,,,,baseline straight
,RS_XWC_001,002,002,RS_XWC_001_002,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P01_N02,,SAN_GOU_5,散勾五,atomic,straight,none,,,,002,,,,,,,baseline straight
,RS_XWC_001,003,003,RS_XWC_001_003,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P01_N03,,SAN_TIAO_7,散挑七,atomic,straight,none,,,,003,,,,,,,baseline straight
,RS_XWC_001,004,032,RS_XWC_001_004,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P01_N04,,AN_RING_10_GOU_5,名十勾五,atomic,straight,none,,,,032,,,,,,,baseline straight
,RS_XWC_001,005,050,RS_XWC_001_005,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P01_N04,,AN_RING_10_GOU_5,名十勾五,atomic,chuo,chuo,,,,050,,,,,,,普通按音默认绰 realization
,RS_XWC_001,006,004,RS_XWC_001_006,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P02_N01,,SAN_TIAO_7,散挑七,atomic,straight,none,,,,004,,,,,,,baseline straight
,RS_XWC_001,007,005,RS_XWC_001_007,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P02_N02,,SAN_GOU_5,散勾五,atomic,straight,none,,,,005,,,,,,,baseline straight
,RS_XWC_001,008,006,RS_XWC_001_008,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P02_N03,,SAN_TIAO_6,散挑六,atomic,straight,none,,,,006,,,,,,,baseline straight
,RS_XWC_001,009,033,RS_XWC_001_009,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P02_N04,,AN_RING_10_GOU_4,名十勾四,atomic,straight,none,,,,033,,,,,,,baseline straight
,RS_XWC_001,010,051,RS_XWC_001_010,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P02_N04,,AN_RING_10_GOU_4,名十勾四,atomic,chuo,chuo,,,,051,,,,,,,普通按音默认绰 realization
,RS_XWC_001,011,007,RS_XWC_001_011,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P02_N05,,SAN_TIAO_7,散挑七,atomic,straight,none,,,,007,,,,,,,baseline straight
,RS_XWC_001,012,034,RS_XWC_001_012,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P02_N06,,AN_THUMB_9_GOU_4,大九勾四,atomic,straight,none,,,,034,,,,,,,baseline straight
,RS_XWC_001,013,052,RS_XWC_001_013,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P02_N06,,AN_THUMB_9_GOU_4,大九勾四,atomic,chuo,chuo,,,,052,,,,,,,普通按音默认绰 realization
,RS_XWC_001,014,008,RS_XWC_001_014,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P03_N01,,SAN_TIAO_6,散挑六,atomic,straight,none,,,,008,,,,,,,baseline straight
,RS_XWC_001,015,009,RS_XWC_001_015,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P03_N02,,SAN_GOU_4,散勾四,atomic,straight,none,,,,009,,,,,,,baseline straight
,RS_XWC_001,016,010,RS_XWC_001_016,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P03_N03,,SAN_TIAO_5,散挑五,atomic,straight,none,,,,010,,,,,,,baseline straight
,RS_XWC_001,017,035,RS_XWC_001_017,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P03_N04,,AN_RING_10_8_GOU_3,名十徽八勾三,atomic,straight,none,,,,035,,,,,,,baseline straight
,RS_XWC_001,018,066,RS_XWC_001_018,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P03_N04,,AN_RING_10_8_GOU_3,名十徽八勾三,atomic,zhu,zhu,,,,066,,,,,,,谱面明示注
,RS_XWC_001,019,011,RS_XWC_001_019,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P03_N05,,SAN_TIAO_6,散挑六,atomic,straight,none,,,,011,,,,,,,baseline straight
,RS_XWC_001,020,036,RS_XWC_001_020,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P03_N06,,AN_THUMB_9_GOU_3,大九勾三,atomic,straight,none,,,,036,,,,,,,baseline straight
,RS_XWC_001,021,053,RS_XWC_001_021,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P03_N06,,AN_THUMB_9_GOU_3,大九勾三,atomic,chuo,chuo,,,,053,,,,,,,普通按音默认绰 realization
,RS_XWC_001,022,012,RS_XWC_001_022,legacy_v1_recording_script,01_pieces/xianwengcao/recording_script.csv,XWC_P04_N01,,SAN_TIAO_5,散挑五,atomic,straight,none,,,,012,,,,,,,baseline straight
