component_id,category,label_zh,source_zip,original_filename,normalized_image_path,image_sha256,legacy_refs,notes,status_labels
COMP-100,节奏谱字,入乱,节奏谱字.zip,入乱.png,sources/qxby_component_atlas/images/jiezou_puzi/COMP-100_入乱.png,789318c02a8d197d2d818099f3bc06896c4d3e689e319ece0871bbfc84e416bc,,QXBY_FULL_COMPONENT_ATLAS_REFERENCE; NOT_SCORE_EVENT_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NOT_SAMPLE_INGEST; NOT_ML_TRAINING_DATA; NOT_RENDER_OUTPUT,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-101,节奏谱字,入慢,节奏谱字.zip,入慢.png,sources/qxby_component_atlas/images/jiezou_puzi/COMP-101_入慢.png,5216075381431e8026a7a9fbd18c2e6e8a6e232cfab8ca4aed0bceb7c19ee008,,QXBY_FULL_COMPONENT_ATLAS_REFERENCE; NOT_SCORE_EVENT_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NOT_SAMPLE_INGEST; NOT_ML_TRAINING_DATA; NOT_RENDER_OUTPUT,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-102,节奏谱字,入拍,节奏谱字.zip,入拍.png,sources/qxby_component_atlas/images/jiezou_puzi/COMP-102_入拍.png,7e05d77c60fb09632ddb320d9d5e7a34cf66e310587eed1bd75b10bc141377eb,,QXBY_FULL_COMPONENT_ATLAS_REFERENCE; NOT_SCORE_EVENT_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NOT_SAMPLE_INGEST; NOT_ML_TRAINING_DATA; NOT_RENDER_OUTPUT,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-103,节奏谱字,大慢,节奏谱字.zip,大慢.png,sources/qxby_component_atlas/images/jiezou_puzi/COMP-103_大慢.png,eaa5b879c59ab626a11501c387485b9d7cbb053a762a73b845922dcc2d78690b,,QXBY_FULL_COMPONENT_ATLAS_REFERENCE; NOT_SCORE_EVENT_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NOT_SAMPLE_INGEST; NOT_ML_TRAINING_DATA; NOT_RENDER_OUTPUT,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-104,节奏谱字,实,节奏谱字.zip,实.png,sources/qxby_component_atlas/images/jiezou_puzi/COMP-104_实.png,39ff255f83a06e1e262baede3755dd53e9c1035a82367a727604465457df3910,,QXBY_FULL_COMPONENT_ATLAS_REFERENCE; NOT_SCORE_EVENT_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NOT_SAMPLE_INGEST; NOT_ML_TRAINING_DATA; NOT_RENDER_OUTPUT,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-105,节奏谱字,少息,节奏谱字.zip,少息.png,sources/qxby_component_atlas/images/jiezou_puzi/COMP-105_少息.png,4a19677be5e73e67b8daec6600532d86ca2786d5a8d750bb42db569fc7ff7cec,COMP-003,QXBY_FULL_COMPONENT_ATLAS_REFERENCE; NOT_SCORE_EVENT_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NOT_SAMPLE_INGEST; NOT_ML_TRAINING_DATA; NOT_RENDER_OUTPUT,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-106,节奏谱字,急,节奏谱字.zip,急.png,sources/qxby_component_atlas/images/jiezou_puzi/COMP-106_急.png,c3ba68691768ab95f26ab908f7027eb6041576996ffb9b2d0f976d7d0bd2ec4d,COMP-030,QXBY_FULL_COMPONENT_ATLAS_REFERENCE; NOT_SCORE_EVENT_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NOT_SAMPLE_INGEST; NOT_ML_TRAINING_DATA; NOT_RENDER_OUTPUT,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-107,节奏谱字,急作,节奏谱字.zip,急作.png,sources/qxby_component_atlas/images/jiezou_puzi/COMP-107_急作.png,fb2c23fe0245c2c7416438e3201e29936cab3cf3547f5638dbab943aa447f752,,QXBY_FULL_COMPONENT_ATLAS_REFERENCE; NOT_SCORE_EVENT_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NOT_SAMPLE_INGEST; NOT_ML_TRAINING_DATA; NOT_RENDER_OUTPUT,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-108,节奏谱字,息,节奏谱字.zip,息.png,sources/qxby_component_atlas/images/jiezou_puzi/COMP-108_息.png,f32c164436cc6a7ad9874becd92badb07150ee3f342647f23a2ac9bf7d5089c4,,QXBY_FULL_COMPONENT_ATLAS_REFERENCE; NOT_SCORE_EVENT_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NOT_SAMPLE_INGEST; NOT_ML_TRAINING_DATA; NOT_RENDER_OUTPUT,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-109,节奏谱字,慢,节奏谱字.zip,慢.png,sources/qxby_component_atlas/images/jiezou_puzi/COMP-109_慢.png,7e27f1a46c395a671fafc907a7bc5292857d795f0e6276c898cafec60a585624,,QXBY_FULL_COMPONENT_ATLAS_REFERENCE; NOT_SCORE_EVENT_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NOT_SAMPLE_INGEST; NOT_ML_TRAINING_DATA; NOT_RENDER_OUTPUT,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-110,节奏谱字,接,节奏谱字.zip,接.png,sources/qxby_component_atlas/images/jiezou_puzi/COMP-110_接.png,1b3358ab9eca38a9c8e0774753584116bfca460336c6664571383df830d71d94,,QXBY_FULL_COMPONENT_ATLAS_REFERENCE; NOT_SCORE_EVENT_AUTHORITY; NOT_DAPU_IR_AUTHORITY; NOT_SAMPLE_INGEST; NOT_ML_TRAINING_DATA; NOT_RENDER_OUTPUT,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
